Record;Date;UTC Time;LIEB_Tc;LIEB_Tf;LIEB_Q;LIEB_P;JEN1_Tc;JEN1_Tf;JEN1_Q;JEN1_P;JEN2_Tc;JEN2_Tf;JEN2_Q;JEN2_P;HX1_P;HX2_P;Sech_P;Dig_P
12001;07-07-25;11:15:00;66;68;24;51;79;68;52;646;80;61;59;1223;87;83;1628;0
12002;07-07-25;11:30:00;66;68;24;50;79;68;52;643;80;61;58;1229;86;79;1601;0
12003;07-07-25;11:45:00;66;68;24;50;79;69;52;640;80;61;58;1207;80;73;1586;0
12004;07-07-25;12:00:00;66;68;25;51;80;69;53;657;80;61;59;1222;81;76;1543;0
12005;07-07-25;12:15:00;65;66;25;49;67;67;53;1;62;62;60;4;58;84;115;0
12006;07-07-25;12:30:00;64;66;25;49;72;67;53;310;79;61;59;1191;14;36;1318;0
12007;07-07-25;12:45:00;65;67;26;52;67;68;53;61;63;63;58;19;53;51;188;0
12008;07-07-25;13:00:00;66;67;25;49;79;68;52;635;80;62;59;1237;92;94;1529;0
12009;07-07-25;13:15:00;64;66;26;57;65;67;55;99;82;67;61;984;65;68;466;0
12010;07-07-25;13:30:00;64;65;26;47;68;66;54;135;81;62;59;1259;66;68;1333;0
12011;07-07-25;13:45:00;66;68;24;50;78;69;52;580;81;62;60;1264;86;82;1511;0
12012;07-07-25;14:00:00;66;68;24;49;77;68;52;510;80;63;59;1141;76;71;1383;0
12013;07-07-25;14:15:00;66;68;25;50;77;69;52;490;79;63;59;1111;68;65;1363;0
12014;07-07-25;14:30:00;66;67;25;49;76;68;53;460;78;63;56;982;73;69;1288;0
12015;07-07-25;14:45:00;64;66;26;47;75;67;54;514;80;62;60;1194;44;4;1342;0
12016;07-07-25;15:00:00;66;67;25;48;79;68;53;646;79;62;59;1150;124;119;1516;0
12017;07-07-25;15:15:00;65;67;25;49;78;67;53;653;80;62;61;1215;150;145;1506;0
12018;07-07-25;15:30:00;65;67;25;48;78;68;53;650;79;62;61;1207;145;135;1408;0
12019;07-07-25;15:45:00;65;66;26;47;78;67;54;647;79;62;61;1208;155;150;1425;0
12020;07-07-25;16:00:00;65;67;26;49;78;67;53;622;78;62;59;1114;134;131;1447;0
12021;07-07-25;16:15:00;65;66;26;48;77;67;54;621;78;61;59;1130;145;130;1426;0
12022;07-07-25;16:30:00;65;67;25;50;78;67;53;625;79;61;60;1204;116;109;1490;0
12023;07-07-25;16:45:00;65;67;26;44;68;67;53;31;79;61;62;1271;14;5;1302;0
12024;07-07-25;17:00:00;63;65;27;49;66;66;55;7;79;61;62;1228;39;43;1212;0
12025;07-07-25;17:15:00;63;65;27;51;65;66;54;21;79;61;60;1175;52;55;1226;0
12026;07-07-25;17:30:00;63;65;27;51;65;65;54;22;78;61;61;1182;45;56;1223;0
12027;07-07-25;17:45:00;63;65;27;51;65;65;55;23;79;61;60;1164;54;56;1151;0
12028;07-07-25;18:00:00;63;65;26;49;65;65;54;23;78;61;61;1192;49;54;1198;0
12029;07-07-25;18:15:00;65;66;26;50;76;67;53;538;78;61;59;1121;101;96;1421;0
12030;07-07-25;18:30:00;65;66;25;51;77;67;53;581;78;61;59;1123;115;113;1390;0
12031;07-07-25;18:45:00;65;67;25;53;77;67;52;571;78;61;59;1115;104;99;1424;0
12032;07-07-25;19:00:00;64;66;26;53;76;67;54;570;77;61;59;1065;119;114;1333;0
12033;07-07-25;19:15:00;65;66;25;50;77;67;53;595;78;61;57;1083;128;119;1385;0
12034;07-07-25;19:30:00;64;66;27;50;76;66;54;589;77;61;60;1120;156;150;1319;0
12035;07-07-25;19:45:00;63;65;27;50;74;66;55;547;76;61;62;1064;157;149;1165;0
12036;07-07-25;20:00:00;63;65;27;51;74;65;55;519;75;61;62;997;158;149;1100;0
12037;07-07-25;20:15:00;63;65;27;56;73;65;55;496;75;61;61;986;137;127;1101;0
12038;07-07-25;20:30:00;64;65;26;54;75;66;54;577;77;61;60;1106;127;123;1288;0
12039;07-07-25;20:45:00;64;66;25;52;76;67;54;558;77;61;60;1095;111;108;1311;0
12040;07-07-25;21:00:00;64;66;26;53;75;67;53;503;76;61;60;1032;94;90;1239;0
12041;07-07-25;21:15:00;64;66;26;53;75;67;54;482;75;61;60;984;97;95;1188;0
12042;07-07-25;21:30:00;64;66;26;52;74;66;53;479;75;61;59;955;103;95;1160;0
12043;07-07-25;21:45:00;64;66;25;54;75;67;53;489;76;61;60;1005;89;84;1212;0
12044;07-07-25;22:00:00;64;66;25;53;75;67;53;506;75;61;57;951;89;84;1222;0
12045;07-07-25;22:15:00;64;66;26;55;75;67;53;521;75;60;60;1020;102;95;1278;0
12046;07-07-25;22:30:00;64;66;26;55;75;67;54;534;75;60;59;1021;103;98;1278;0
12047;07-07-25;22:45:00;64;66;26;54;76;67;53;549;77;61;60;1085;106;98;1306;0
12048;07-07-25;23:00:00;64;66;26;52;76;67;53;603;77;60;60;1131;118;116;1365;0
12049;07-07-25;23:15:00;64;66;26;53;77;67;53;595;77;60;59;1110;115;111;1420;0
12050;07-07-25;23:30:00;64;66;26;54;77;67;53;598;77;60;60;1137;112;107;1363;0
12051;07-07-25;23:45:00;64;66;26;55;76;67;53;583;76;60;59;1082;109;106;1390;0
12052;07-08-25;00:00:00;64;66;26;53;76;66;54;583;76;60;61;1116;133;129;1314;0
12053;07-08-25;00:15:00;64;66;25;52;77;67;54;608;77;60;58;1113;118;113;1437;0
12054;07-08-25;00:30:00;64;66;26;54;76;67;53;598;77;60;60;1137;118;112;1414;0
12055;07-08-25;00:45:00;64;66;26;53;77;67;54;610;77;60;60;1138;115;113;1385;0
12056;07-08-25;01:00:00;65;66;25;50;77;67;53;598;77;60;58;1106;107;103;1419;0
12057;07-08-25;01:15:00;65;66;25;54;77;67;53;598;77;60;61;1164;103;97;1465;0
12058;07-08-25;01:30:00;65;66;25;54;77;67;53;590;77;60;59;1112;99;97;1438;0
12059;07-08-25;01:45:00;65;66;25;55;77;67;53;593;77;60;61;1161;102;96;1442;0
12060;07-08-25;02:00:00;65;66;25;55;77;67;53;579;77;60;59;1126;97;90;1397;0
12061;07-08-25;02:15:00;63;64;27;54;65;65;55;5;59;59;59;7;54;59;126;0
12062;07-08-25;02:30:00;62;64;27;53;61;64;55;229;70;63;61;484;73;77;161;0
12063;07-08-25;02:45:00;64;66;25;54;75;67;53;479;76;61;59;1003;80;76;1230;0
12064;07-08-25;03:00:00;63;65;26;54;65;65;54;0;61;61;60;9;40;44;114;0
12065;07-08-25;03:15:00;65;67;25;55;75;67;53;450;76;61;60;1015;70;65;1221;0
12066;07-08-25;03:30:00;65;67;26;56;76;67;53;526;77;61;57;1030;83;75;1285;0
12067;07-08-25;03:45:00;65;66;25;55;76;67;53;536;77;61;59;1040;98;92;1303;0
12068;07-08-25;04:00:00;64;66;26;53;75;67;53;513;76;61;60;1045;100;92;1261;0
12069;07-08-25;04:15:00;65;67;25;53;75;67;53;494;76;61;59;1004;87;81;1233;0
12070;07-08-25;04:30:00;64;66;26;54;75;67;54;471;76;61;60;961;93;93;1183;0
12071;07-08-25;04:45:00;64;66;26;56;74;66;54;457;75;62;61;925;114;110;1072;0
12072;07-08-25;05:00:00;63;65;27;56;73;66;54;462;75;62;61;938;121;120;1091;0
12073;07-08-25;05:15:00;64;66;27;56;74;67;55;443;77;64;60;910;122;121;1022;0
12074;07-08-25;05:30:00;65;66;26;55;76;67;54;545;79;63;59;1053;140;126;1250;0
12075;07-08-25;05:45:00;65;67;26;55;75;67;53;472;78;63;59;954;114;104;1113;0
12076;07-08-25;06:00:00;64;66;25;53;75;67;53;480;76;62;61;999;92;88;1147;0
12077;07-08-25;06:15:00;64;66;25;57;75;67;53;516;76;61;60;1084;90;87;1314;0
12078;07-08-25;06:30:00;64;66;26;57;76;67;54;555;76;61;59;1064;115;112;1306;0
12079;07-08-25;06:45:00;64;65;26;57;75;66;54;556;76;61;60;1066;132;129;1277;0
11580;07-03-25;02:00:00;65;67;25;52;78;68;52;576;78;61;59;1127;89;84;1417;0
11581;07-03-25;02:15:00;65;67;25;52;78;68;52;575;78;61;58;1100;82;78;1422;0
11582;07-03-25;02:30:00;65;67;25;51;77;68;52;574;78;61;59;1122;97;93;1439;0
11583;07-03-25;02:45:00;65;67;25;51;77;68;52;570;78;61;57;1089;91;88;1367;0
11584;07-03-25;03:00:00;66;67;25;53;77;68;53;548;78;61;60;1104;78;70;1354;0
11585;07-03-25;03:15:00;65;67;26;52;77;68;52;525;77;61;59;1060;78;72;1298;0
11586;07-03-25;03:30:00;65;67;25;51;76;68;52;494;77;61;58;1003;69;65;1284;0
11587;07-03-25;03:45:00;65;67;25;52;75;67;53;475;76;61;58;956;82;66;1203;0
11588;07-03-25;04:00:00;65;67;25;53;75;68;53;450;75;62;59;916;65;60;1156;0
11589;07-03-25;04:15:00;65;67;25;53;74;68;53;413;75;62;61;916;55;51;1115;0
11590;07-03-25;04:30:00;65;67;26;54;75;68;53;422;75;62;60;934;47;41;1119;0
11591;07-03-25;04:45:00;65;67;25;50;74;68;53;373;74;62;59;830;42;38;1055;0
11592;07-03-25;05:00:00;65;67;25;50;74;68;52;375;74;62;60;842;45;41;1059;0
11593;07-03-25;05:15:00;66;67;26;52;75;68;53;393;76;64;59;865;81;74;1043;0
11594;07-03-25;05:30:00;66;68;25;54;75;68;53;391;77;64;58;879;62;62;1106;0
11595;07-03-25;05:45:00;66;68;25;54;75;68;53;430;77;64;60;937;69;65;1094;0
11596;07-03-25;06:00:00;66;68;25;51;76;68;53;441;77;63;58;916;80;76;1161;0
11597;07-03-25;06:15:00;66;68;25;52;78;68;53;562;80;63;60;1127;102;100;1334;0
11598;07-03-25;06:30:00;66;68;25;49;78;68;53;565;79;63;60;1095;117;110;1284;0
11599;07-03-25;06:45:00;65;67;25;50;76;68;53;515;78;63;58;991;110;109;1227;0
11600;07-03-25;07:00:00;65;67;25;51;76;68;53;508;78;63;57;967;110;107;1204;0
11601;07-03-25;07:15:00;66;67;25;51;77;68;53;543;79;63;60;1057;114;107;1285;0
11602;07-03-25;07:30:00;65;67;25;48;77;68;53;561;78;62;59;1088;128;119;1437;0
11603;07-03-25;07:45:00;65;67;25;49;76;67;54;529;77;62;60;1023;107;101;1231;0
11604;07-03-25;08:00:00;65;67;25;49;77;67;53;594;78;62;60;1139;119;115;1383;0
11605;07-03-25;08:15:00;65;67;25;47;77;67;53;556;77;62;60;1029;113;107;1270;0
11606;07-03-25;08:30:00;65;67;26;45;77;67;53;554;77;61;59;1029;109;107;1270;0
11607;07-03-25;08:45:00;65;67;25;51;76;68;53;515;78;62;60;1048;91;86;1304;0
11608;07-03-25;09:00:00;66;67;25;50;76;68;53;507;78;63;60;994;94;90;1209;0
11609;07-03-25;09:15:00;66;68;25;50;78;68;53;574;79;63;60;1130;101;103;1378;0
11610;07-03-25;09:30:00;66;68;25;46;78;68;52;591;79;63;59;1077;105;105;1301;0
11611;07-03-25;09:45:00;66;68;26;48;77;68;52;552;79;63;60;1069;113;108;1304;0
11612;07-03-25;10:00:00;66;67;25;45;77;68;53;533;78;63;61;1034;107;105;1240;0
11613;07-03-25;10:15:00;66;68;25;47;78;68;52;569;80;63;59;1093;105;97;1290;0
11614;07-03-25;10:30:00;66;68;25;47;79;68;52;607;80;63;59;1136;117;110;1450;0
11615;07-03-25;10:45:00;66;68;25;46;79;68;52;608;79;63;60;1125;106;102;1333;0
11616;07-03-25;11:00:00;66;68;25;46;79;69;53;614;80;63;57;1092;110;105;1437;0
11617;07-03-25;11:15:00;66;68;25;46;78;68;53;621;80;62;59;1136;104;103;1471;0
11618;07-03-25;11:30:00;66;68;24;42;79;68;53;626;80;63;60;1147;113;110;1410;0
11619;07-03-25;11:45:00;66;68;25;44;78;68;53;581;78;62;60;1096;103;97;1422;0
11620;07-03-25;12:00:00;66;68;24;44;78;68;53;573;78;62;59;1066;96;93;1357;0
