Record;Date;UTC Time;LIEB_Tc;LIEB_Tf;LIEB_Q;LIEB_P;JEN1_Tc;JEN1_Tf;JEN1_Q;JEN1_P;JEN2_Tc;JEN2_Tf;JEN2_Q;JEN2_P;HX1_P;HX2_P;Sech_P;Dig_P
1;07-08-25;13:00:00;65;67;25;52;77;67;53;561;79;62;60;1204;106;99;1437;0
2;07-08-25;13:15:00;65;67;25;49;77;68;53;571;79;62;60;1193;105;99;1427;0
3;07-08-25;13:30:00;65;67;25;50;77;68;53;567;79;62;60;1177;105;99;1387;0
4;07-08-25;13:45:00;65;67;25;46;77;67;52;562;79;61;60;1195;112;113;1427;0
5;07-08-25;14:00:00;65;67;25;48;77;68;53;550;79;62;61;1172;99;95;1358;0
6;07-08-25;14:15:00;65;67;25;46;77;68;52;562;79;62;59;1174;103;101;1419;0
7;07-08-25;14:30:00;65;67;25;48;77;68;53;579;80;62;59;1152;109;105;1401;0
8;07-08-25;14:45:00;65;67;26;51;77;68;53;562;79;62;58;1158;100;94;1412;0
9;07-08-25;15:00:00;66;67;25;51;77;68;53;555;80;62;60;1191;96;91;1473;0
10;07-08-25;15:15:00;65;67;25;50;77;68;52;555;80;62;59;1169;104;98;1421;0
11;07-08-25;15:30:00;66;67;25;51;77;68;53;552;80;62;60;1194;100;94;1404;0
12;07-08-25;15:45:00;66;67;25;46;77;68;52;551;80;62;61;1213;101;98;1402;0
13;07-08-25;16:00:00;66;67;25;48;77;68;53;551;80;62;59;1176;94;89;1456;0
14;07-08-25;16:15:00;66;67;25;49;77;68;53;554;80;62;61;1220;99;99;1493;0
15;07-08-25;16:30:00;66;68;25;50;77;68;52;552;80;62;61;1217;93;89;1476;0
16;07-08-25;16:45:00;66;68;25;48;77;68;53;561;80;62;59;1197;97;93;1531;0
17;07-08-25;17:00:00;66;67;25;51;78;68;53;628;79;62;59;1162;96;98;1447;0
18;07-08-25;17:15:00;66;67;25;47;77;68;52;538;79;62;59;1153;88;82;1485;0
19;07-08-25;17:30:00;66;67;25;48;77;68;53;542;79;62;60;1184;85;83;1426;0
20;07-08-25;17:45:00;65;67;26;48;69;68;53;80;79;61;60;1177;50;87;1319;0
21;07-08-25;18:00:00;65;67;25;48;77;68;53;566;80;61;60;1246;97;91;1450;0
22;07-08-25;18:15:00;65;67;25;50;78;68;52;635;79;61;60;1217;113;107;1519;0
23;07-08-25;18:30:00;65;67;25;51;78;67;53;644;79;61;60;1224;117;118;1459;0
24;07-08-25;18:45:00;65;67;25;52;79;68;53;682;79;61;59;1192;112;107;1532;0
25;07-08-25;19:00:00;66;67;25;50;79;68;52;683;79;61;59;1193;111;106;1475;0
26;07-08-25;19:15:00;65;67;25;49;79;68;52;676;79;61;59;1201;119;116;1589;0
27;07-08-25;19:30:00;65;67;25;50;79;68;52;676;79;61;59;1205;117;113;1576;0
28;07-08-25;19:45:00;65;67;25;49;79;67;53;690;78;60;60;1205;135;128;1552;0
29;07-08-25;20:00:00;65;67;25;53;79;68;52;673;79;61;59;1195;116;112;1507;0
30;07-08-25;20:15:00;65;67;25;53;79;67;52;685;78;61;58;1172;134;129;1480;0
31;07-08-25;20:30:00;65;67;24;49;79;68;53;691;78;61;61;1228;114;111;1563;0
32;07-08-25;20:45:00;65;67;25;48;79;68;53;690;79;61;60;1211;128;125;1574;0
33;07-08-25;21:00:00;65;67;25;49;79;68;52;680;79;61;59;1199;114;110;1522;0
34;07-08-25;21:15:00;64;65;27;52;66;66;54;5;78;61;60;1153;50;55;1179;0
35;07-08-25;21:30:00;63;65;26;54;72;66;54;346;79;62;61;1162;39;62;1164;0
36;07-08-25;21:45:00;66;67;25;52;78;68;52;578;79;61;59;1170;87;81;1475;0
37;07-08-25;22:00:00;66;67;25;52;78;68;52;596;79;61;59;1163;88;84;1451;0
38;07-08-25;22:15:00;66;67;25;53;78;68;52;595;79;61;59;1166;86;81;1530;0
39;07-08-25;22:30:00;66;67;25;50;78;68;52;607;79;61;59;1173;89;84;1500;0
40;07-08-25;22:45:00;66;67;25;50;78;68;52;601;78;61;59;1179;90;85;1443;0
41;07-08-25;23:00:00;65;67;25;53;78;68;52;605;78;61;60;1183;92;87;1504;0
42;07-08-25;23:15:00;65;67;25;54;78;68;52;607;78;61;59;1167;93;86;1524;0
43;07-08-25;23:30:00;65;67;25;54;78;68;53;610;78;61;59;1181;87;86;1501;0
44;07-08-25;23:45:00;65;67;25;53;78;67;53;619;78;61;59;1172;104;96;1541;0
45;07-09-25;00:00:00;65;66;26;53;77;67;53;614;78;60;59;1152;114;110;1459;0
46;07-09-25;00:15:00;64;66;26;51;76;66;54;608;77;60;59;1142;131;125;1381;0
47;07-09-25;00:30:00;64;66;26;54;77;67;53;612;77;60;60;1164;116;109;1427;0
48;07-09-25;00:45:00;65;67;25;53;78;68;52;602;78;60;59;1163;87;81;1500;0
49;07-09-25;01:00:00;65;67;25;54;78;68;52;612;78;60;58;1141;87;84;1526;0
50;07-09-25;01:15:00;63;65;26;51;66;66;54;0;78;61;60;1135;60;77;1200;0
51;07-09-25;01:30:00;63;65;26;56;63;66;54;194;77;61;63;1177;59;65;1083;0
