Record;Date;UTC Time;LIEB_Tc;LIEB_Tf;LIEB_Q;LIEB_P;JEN1_Tc;JEN1_Tf;JEN1_Q;JEN1_P;JEN2_Tc;JEN2_Tf;JEN2_Q;JEN2_P;HX1_P;HX2_P;Sech_P;Dig_P
501;03-09-25;15:45:00;82;71;24;308;83;72;52;690;87;66;55;1275;224;219;1873;0
502;03-09-25;16:00:00;82;71;24;306;83;71;52;694;86;65;54;1278;216;215;1817;0
503;03-09-25;16:15:00;82;71;23;310;83;71;52;684;86;65;55;1294;211;214;1847;0
504;03-09-25;16:30:00;82;71;24;318;83;71;52;684;86;65;54;1274;211;211;1800;0
505;03-09-25;16:45:00;82;71;24;313;83;71;51;691;85;65;55;1299;209;207;1826;0
506;03-09-25;17:00:00;82;71;24;318;83;71;52;700;85;64;56;1314;223;212;1778;0
507;03-09-25;17:15:00;82;70;24;331;82;70;52;708;84;64;55;1296;221;218;1829;0
508;03-09-25;17:30:00;82;70;23;333;82;70;52;719;84;63;56;1309;218;217;1914;0
509;03-09-25;17:45:00;81;69;25;338;82;70;52;720;83;63;56;1323;225;219;1917;0
510;03-09-25;18:00:00;82;70;24;350;82;70;51;703;84;63;54;1272;212;205;1859;0
511;03-09-25;18:15:00;82;69;24;349;82;70;52;723;83;62;55;1290;210;206;1906;0
512;03-09-25;18:30:00;82;69;24;354;82;70;52;722;83;63;55;1288;239;231;1854;0
513;03-09-25;18:45:00;80;68;24;340;81;69;52;717;82;62;56;1264;247;242;1790;0
514;03-09-25;19:00:00;80;69;25;328;81;69;52;688;81;62;56;1203;222;221;1637;0
515;03-09-25;19:15:00;81;69;25;345;82;69;52;726;82;62;56;1274;231;230;1826;0
516;03-09-25;19:30:00;81;69;25;346;82;69;52;721;82;62;56;1281;221;215;1841;0
517;03-09-25;19:45:00;81;69;24;321;81;69;52;696;81;62;54;1172;212;209;1797;0
518;03-09-25;20:00:00;80;69;24;312;81;70;52;673;81;62;55;1192;201;197;1768;0
519;03-09-25;20:15:00;81;69;24;331;81;69;52;703;82;62;55;1255;225;215;1800;0
520;03-09-25;20:30:00;81;68;24;343;81;69;53;726;82;61;57;1307;239;226;1803;0
521;03-09-25;20:45:00;80;69;25;337;81;69;52;709;82;62;56;1253;227;221;1778;0
522;03-09-25;21:00:00;80;69;24;311;81;69;52;669;81;62;55;1199;211;208;1779;0
523;03-09-25;21:15:00;81;69;24;344;81;69;52;709;82;62;55;1253;221;221;1861;0
524;03-09-25;21:30:00;81;68;24;339;81;69;52;703;81;61;55;1256;226;214;1816;0
525;03-09-25;21:45:00;80;68;24;336;81;69;52;689;81;61;56;1261;219;216;1785;0
526;03-09-25;22:00:00;80;68;24;327;80;69;52;669;81;61;55;1216;213;210;1746;0
527;03-09-25;22:15:00;79;68;24;314;80;69;51;652;80;61;54;1141;206;202;1730;0
528;03-09-25;22:30:00;81;68;24;335;81;69;53;697;81;61;55;1262;216;209;1831;0
529;03-09-25;22:45:00;81;68;24;339;81;69;52;704;81;61;54;1232;220;213;1846;0
530;03-09-25;23:00:00;80;68;25;335;81;69;52;692;81;61;55;1235;217;215;1777;0
531;03-09-25;23:15:00;80;68;24;315;80;69;52;654;80;61;55;1168;211;208;1813;0
532;03-09-25;23:30:00;79;68;24;307;79;69;52;634;80;61;53;1121;207;200;1692;0
533;03-09-25;23:45:00;79;68;25;310;79;69;52;629;79;61;54;1121;204;195;1645;0
534;03-10-25;00:00:00;79;68;24;290;79;69;53;606;79;61;55;1113;190;189;1654;0
535;03-10-25;00:15:00;80;68;25;341;80;69;52;670;80;61;55;1212;209;210;1837;0
536;03-10-25;00:30:00;80;68;25;335;81;69;53;705;81;61;55;1222;221;214;1769;0
537;03-10-25;00:45:00;79;68;24;314;79;69;52;642;80;61;54;1142;211;211;1720;0
538;03-10-25;01:00:00;80;68;25;342;79;68;53;671;80;61;56;1225;231;224;1680;0
539;03-10-25;01:15:00;80;68;25;324;80;69;52;671;80;61;55;1144;223;220;1724;0
540;03-10-25;01:30:00;77;68;25;273;78;68;53;603;78;61;54;1050;204;199;1518;0
541;03-10-25;01:45:00;77;68;25;271;78;68;52;573;78;61;54;1032;199;189;1496;0
542;03-10-25;02:00:00;79;68;26;345;79;68;53;679;80;60;54;1212;235;237;1802;0
543;03-10-25;02:15:00;78;67;25;316;79;68;53;672;79;61;54;1121;246;243;1687;0
544;03-10-25;02:30:00;77;67;25;275;78;68;53;620;78;61;55;1044;218;215;1462;0
545;03-10-25;02:45:00;77;67;25;284;78;68;53;628;78;61;53;1038;233;221;1534;0
546;03-10-25;03:00:00;76;67;25;265;78;68;53;640;77;61;54;1006;207;213;1458;0
547;03-10-25;03:15:00;79;67;24;314;79;68;52;666;80;60;54;1179;236;230;1694;0
548;03-10-25;03:30:00;77;68;24;258;78;68;53;588;77;61;53;966;217;199;1460;0
549;03-10-25;03:45:00;79;67;25;325;80;68;53;734;80;60;54;1189;242;238;1722;0
550;03-10-25;04:00:00;77;67;25;276;79;68;53;674;78;61;55;1071;235;217;1495;0
551;03-10-25;04:15:00;79;67;25;323;79;68;53;693;80;60;56;1217;239;230;1750;0
552;03-10-25;04:30:00;76;67;25;256;77;68;53;566;77;61;55;984;215;198;1351;0
553;03-10-25;04:45:00;78;67;25;316;79;68;53;694;80;61;55;1220;237;238;1676;0
554;03-10-25;05:00:00;78;67;26;303;79;68;53;684;79;60;55;1146;266;243;1670;0
555;03-10-25;05:15:00;75;67;25;241;77;67;53;571;76;61;56;932;228;218;1254;0
556;03-10-25;05:30:00;76;67;26;250;77;68;53;561;76;62;54;901;216;195;1298;0
557;03-10-25;05:45:00;77;67;25;293;78;68;53;617;79;61;54;1082;243;249;1498;0
558;03-10-25;06:00:00;79;67;0;0;67;67;55;9;78;66;3;38;108;47;0;0
559;03-10-25;06:15:00;63;64;27;37;70;65;55;332;68;84;0;0;16;36;265;0
560;03-10-25;06:30:00;63;64;31;41;77;65;60;808;92;63;0;0;129;129;0;0
561;03-10-25;06:45:00;63;64;31;43;77;65;59;815;92;63;0;0;134;145;0;0
562;03-10-25;07:00:00;61;63;30;42;75;63;60;830;90;60;6;220;105;135;1211;0
563;03-10-25;07:15:00;70;62;31;272;75;63;60;745;90;60;12;421;154;180;1328;0
564;03-10-25;07:30:00;71;62;31;299;75;63;60;846;90;59;24;842;167;160;1594;0
565;03-10-25;07:45:00;69;61;32;301;74;61;60;858;90;58;24;882;194;186;1669;0
566;03-10-25;08:00:00;69;61;30;306;74;61;61;875;90;57;25;919;199;199;1624;0
567;03-10-25;08:15:00;70;62;31;304;75;62;61;869;91;60;23;805;214;221;1551;0
568;03-10-25;08:30:00;71;61;31;343;74;62;61;880;90;60;25;851;256;238;1488;0
569;03-10-25;08:45:00;71;62;31;327;75;62;60;863;90;60;25;849;227;226;1536;0
570;03-10-25;09:00:00;71;61;31;341;74;62;61;830;90;59;24;843;239;249;1551;0
571;03-10-25;09:15:00;69;62;31;272;74;62;60;791;89;60;23;745;223;205;1430;0
572;03-10-25;09:30:00;68;61;30;257;73;61;60;768;88;60;24;770;243;240;1322;0
573;03-10-25;09:45:00;70;61;31;301;74;62;59;842;90;60;24;824;245;241;1463;0
574;03-10-25;10:00:00;70;61;31;292;75;62;60;870;91;60;25;848;260;248;1454;0
575;03-10-25;10:15:00;69;62;31;269;74;62;61;836;90;61;24;795;240;230;1452;0
576;03-10-25;10:30:00;70;62;31;277;74;63;60;803;89;61;26;817;234;247;1403;0
577;03-10-25;10:45:00;70;62;31;281;74;62;60;811;89;61;24;761;228;235;1361;0
578;03-10-25;11:00:00;70;62;31;282;74;62;61;826;90;61;26;853;253;244;1449;0
579;03-10-25;11:15:00;71;62;31;307;76;62;61;941;92;61;24;849;259;264;1502;0
580;03-10-25;11:30:00;71;62;31;322;75;62;61;857;92;60;24;838;266;261;1555;0
581;03-10-25;11:45:00;70;62;31;281;75;62;61;889;91;61;24;811;257;246;1562;0
582;03-10-25;12:00:00;70;62;30;282;74;63;60;788;91;61;24;809;253;243;1422;0
583;03-10-25;12:15:00;71;62;31;321;75;62;60;885;92;61;24;839;270;265;1500;0
584;03-10-25;12:30:00;71;62;31;311;75;63;60;827;91;61;25;868;257;254;1477;0
585;03-10-25;12:45:00;71;62;31;301;75;63;60;811;91;61;24;771;252;245;1405;0
586;03-10-25;13:00:00;71;62;31;298;75;63;60;866;91;61;24;798;241;233;1426;0
587;03-10-25;13:15:00;72;62;31;321;76;63;60;882;92;61;24;829;258;244;1569;0
588;03-10-25;13:30:00;71;62;31;319;75;63;60;835;92;60;25;880;245;250;1540;0
589;03-10-25;13:45:00;71;62;31;297;75;63;60;839;91;61;25;833;241;237;1458;0
590;03-10-25;14:00:00;70;62;31;288;75;63;61;859;90;61;24;800;232;221;1449;0
591;03-10-25;14:15:00;71;62;31;312;75;63;61;842;91;61;24;821;226;228;1448;0
592;03-10-25;14:30:00;71;62;31;315;76;63;60;886;92;61;25;878;240;251;1550;0
593;03-10-25;14:45:00;70;62;31;274;75;63;60;854;90;60;26;858;220;219;1511;0
