Record,Date,UTC Time,LIEB_Tc,LIEB_Tf,LIEB_Q,LIEB_P,JEN1_Tc,JEN1_Tf,JEN1_Q,JEN1_P,JEN2_Tc,JEN2_Tf,JEN2_Q,JEN2_P,HX1_P,HX2_P,Sech_P,Dig_P
      5001,04/25/2025,13:15:00,         73,         65,         27,        247,         74,         66,         56,        563,         77,         62,         61,       1052,        255,        249,       1338,          0
      5002,04/25/2025,13:30:00,         74,         65,         27,        278,         76,         66,         55,        634,         78,         61,         59,       1163,        274,        260,       1559,          0
      5003,04/25/2025,13:45:00,         74,         65,         26,        278,         76,         66,         54,        609,         78,         61,         60,       1147,        252,        257,       1495,          0
      5004,04/25/2025,14:00:00,         74,         65,         27,        264,         76,         66,         55,        602,         78,         61,         60,       1111,        252,        246,       1433,          0
      5005,04/25/2025,14:15:00,         74,         65,         27,        262,         75,         66,         55,        572,         78,         61,         60,       1123,        239,        230,       1470,          0
      5006,04/25/2025,14:30:00,         75,         66,         26,        291,         76,         66,         54,        623,         80,         61,         62,       1255,        244,        239,       1633,          0
      5007,04/25/2025,14:45:00,         76,         66,         26,        300,         77,         66,         54,        667,         79,         61,         62,       1296,        266,        264,       1659,          0
      5008,04/25/2025,15:00:00,         75,         66,         26,        274,         76,         67,         54,        598,         78,         61,         60,       1145,        242,        239,       1523,          0
      5009,04/25/2025,15:15:00,         74,         66,         26,        266,         76,         66,         55,        591,         78,         61,         59,       1090,        235,        220,       1483,          0
      5010,04/25/2025,15:30:00,         75,         66,         27,        285,         76,         66,         54,        597,         79,         61,         61,       1204,        231,        230,       1553,          0
      5011,04/25/2025,15:45:00,         75,         66,         26,        293,         77,         66,         54,        654,         79,         61,         60,       1240,        262,        251,       1657,          0
      5012,04/25/2025,16:00:00,         75,         66,         26,        250,         76,         67,         54,        565,         78,         61,         59,       1094,        219,        209,       1519,          0
      5013,04/25/2025,16:15:00,         75,         66,         26,        253,         76,         67,         54,        549,         78,         62,         60,       1099,        206,        209,       1421,          0
      5014,04/25/2025,16:30:00,         75,         66,         25,        243,         75,         67,         54,        530,         77,         61,         58,       1039,        203,        202,       1470,          0
      5015,04/25/2025,16:45:00,         76,         66,         26,        289,         77,         67,         54,        646,         80,         61,         61,       1264,        243,        230,       1731,          0
      5016,04/25/2025,17:00:00,         76,         66,         26,        284,         77,         67,         54,        661,         79,         61,         59,       1178,        240,        237,       1618,          0
      5017,04/25/2025,17:15:00,         75,         66,         26,        258,         76,         67,         54,        571,         78,         61,         58,       1074,        214,        204,       1548,          0
      5018,04/25/2025,17:30:00,         74,         66,         25,        244,         76,         67,         54,        561,         78,         61,         59,       1076,        204,        203,       1429,          0
      5019,04/25/2025,17:45:00,         75,         66,         26,        285,         77,         67,         54,        625,         78,         61,         58,       1158,        226,        225,       1620,          0
      5020,04/25/2025,18:00:00,         74,         66,         26,        252,         76,         67,         54,        561,         78,         61,         59,       1100,        207,        195,       1491,          0
      5021,04/25/2025,18:15:00,         74,         66,         26,        245,         75,         67,         54,        522,         77,         61,         60,       1047,        190,        181,       1389,          0
      5022,04/25/2025,18:30:00,         74,         66,         26,        247,         75,         66,         54,        513,         76,         61,         60,       1060,        183,        180,       1439,          0
      5023,04/25/2025,18:45:00,         76,         66,         26,        297,         77,         66,         53,        659,         78,         60,         58,       1221,        230,        226,       1736,          0
      5024,04/25/2025,19:00:00,         75,         66,         26,        267,         76,         66,         54,        616,         77,         60,         59,       1136,        225,        219,       1546,          0
      5025,04/25/2025,19:15:00,         74,         66,         26,        252,         75,         66,         54,        551,         77,         60,         59,       1088,        200,        199,       1519,          0
      5026,04/25/2025,19:30:00,         75,         66,         26,        267,         76,         66,         54,        576,         77,         60,         59,       1153,        198,        196,       1557,          0
      5027,04/25/2025,19:45:00,         75,         65,         26,        290,         77,         66,         54,        651,         78,         60,         58,       1202,        223,        228,       1740,          0
      5028,04/25/2025,20:00:00,         74,         65,         26,        266,         76,         66,         54,        595,         77,         60,         59,       1141,        204,        204,       1599,          0
      5029,04/25/2025,20:15:00,         74,         65,         26,        259,         76,         66,         54,        587,         77,         60,         60,       1151,        208,        196,       1519,          0
      5030,04/25/2025,20:30:00,         75,         65,         26,        288,         76,         66,         54,        615,         78,         60,         59,       1212,        206,        199,       1737,          0
      5031,04/25/2025,20:45:00,         75,         65,         26,        288,         77,         66,         54,        638,         78,         59,         59,       1231,        227,        215,       1672,          0
      5032,04/25/2025,21:00:00,         74,         65,         26,        270,         76,         66,         54,        604,         77,         60,         59,       1151,        260,        204,       1588,          0
      5033,04/25/2025,21:15:00,         74,         65,         26,        254,         76,         66,         54,        582,         76,         59,         59,       1092,        191,        194,       1485,          0
      5034,04/25/2025,21:30:00,         75,         65,         26,        294,         76,         66,         54,        641,         77,         59,         59,       1215,        210,        212,       1727,          0
      5035,04/25/2025,21:45:00,         75,         65,         26,        289,         77,         66,         54,        645,         78,         59,         59,       1221,        214,        220,       1666,          0
      5036,04/25/2025,22:00:00,         74,         65,         26,        254,         75,         66,         54,        581,         76,         59,         58,       1120,        200,        197,       1557,          0
      5037,04/25/2025,22:15:00,         74,         65,         26,        249,         75,         66,         54,        525,         76,         60,         59,       1060,        175,        177,       1459,          0
      5038,04/25/2025,22:30:00,         74,         65,         26,        251,         74,         66,         55,        522,         75,         60,         60,       1051,        185,        181,       1456,          0
      5039,04/25/2025,22:45:00,         73,         65,         26,        244,         74,         66,         54,        509,         75,         60,         59,       1020,        184,        173,       1410,          0
      5040,04/25/2025,23:00:00,         73,         65,         26,        251,         75,         66,         54,        565,         76,         59,         60,       1098,        206,        208,       1475,          0
      5041,04/25/2025,23:15:00,         73,         65,         27,        254,         75,         66,         54,        579,         75,         59,         60,       1096,        198,        200,       1443,          0
      5042,04/25/2025,23:30:00,         73,         65,         26,        237,         74,         66,         54,        507,         75,         60,         59,        996,        197,        180,       1365,          0
      5043,04/25/2025,23:45:00,         73,         65,         26,        241,         75,         66,         54,        559,         74,         60,         58,        915,        199,        176,       1289,          0
      5044,04/26/2025,00:00:00,         73,         65,         26,        225,         74,         66,         55,        504,         75,         60,         60,        999,        180,        201,       1330,          0
      5045,04/26/2025,00:15:00,         73,         65,         26,        239,         76,         66,         54,        606,         75,         59,         59,       1082,        205,        198,       1460,          0
      5046,04/26/2025,00:30:00,         73,         65,         27,        246,         74,         66,         54,        490,         73,         60,         59,        879,        184,        183,       1259,          0
      5047,04/26/2025,00:45:00,         73,         65,         27,        246,         73,         66,         55,        467,         73,         60,         59,        810,        182,        175,       1162,          0
      5048,04/26/2025,01:00:00,         73,         65,         27,        248,         73,         66,         54,        460,         72,         61,         60,        786,        190,        191,       1106,          0
