Record;Date;UTC Time;LIEB_Tc;LIEB_Tf;LIEB_Q;LIEB_P;JEN1_Tc;JEN1_Tf;JEN1_Q;JEN1_P;JEN2_Tc;JEN2_Tf;JEN2_Q;JEN2_P;HX1_P;HX2_P;Sech_P;Dig_P
9001;06-06-25;05:15:00;59;61;27;52;62;62;57;22;78;65;64;997;6;0;754;0
9002;06-06-25;05:30:00;60;62;28;51;62;63;56;20;78;64;62;947;16;8;883;0
9003;06-06-25;05:45:00;60;62;28;51;62;62;56;19;80;64;63;1156;18;8;998;0
9004;06-06-25;06:00:00;59;61;28;50;61;61;57;18;76;62;64;982;10;2;883;0
9005;06-06-25;06:15:00;59;60;28;49;61;61;56;16;79;62;63;1267;8;4;1150;0
9006;06-06-25;06:30:00;58;59;28;49;60;60;56;14;77;62;63;1077;26;22;998;0
9007;06-06-25;06:45:00;57;59;28;49;59;59;56;17;79;62;62;1207;23;18;1087;0
9008;06-06-25;07:00:00;58;59;28;49;59;60;57;17;77;63;62;981;28;21;893;0
9009;06-06-25;07:15:00;57;59;28;48;59;59;56;16;76;62;63;998;30;25;900;0
9010;06-06-25;07:30:00;57;59;28;47;59;59;56;16;77;63;63;1020;35;29;869;0
9011;06-06-25;07:45:00;56;58;28;46;58;58;56;15;80;62;64;1284;37;32;1092;0
8512;06-01-25;03:00:00;77;65;27;353;66;66;55;16;79;63;61;1096;99;86;1200;0
8513;06-01-25;03:15:00;77;66;26;337;66;66;54;17;78;63;60;1039;100;90;1188;0
8514;06-01-25;03:30:00;78;66;26;376;66;66;54;16;81;62;62;1291;109;103;1449;0
8515;06-01-25;03:45:00;77;65;27;355;65;66;55;18;78;62;62;1087;116;108;1194;0
8516;06-01-25;04:00:00;74;65;27;294;65;65;55;17;76;63;62;923;106;105;1009;0
8517;06-01-25;04:15:00;74;65;27;267;65;66;55;16;75;63;62;868;92;87;930;0
8518;06-01-25;04:30:00;74;65;27;271;65;66;55;17;75;63;61;852;87;81;961;0
8519;06-01-25;04:45:00;74;65;27;262;65;66;55;16;75;63;62;816;85;77;884;0
8520;06-01-25;05:00:00;74;65;26;267;65;66;55;16;75;63;63;869;87;84;898;0
8521;06-01-25;05:15:00;74;65;28;269;65;65;55;15;75;63;62;857;89;81;920;0
8522;06-01-25;05:30:00;74;65;27;273;65;66;55;17;75;63;61;860;83;75;947;0
8523;06-01-25;05:45:00;74;65;26;254;65;66;55;17;75;63;61;819;88;83;900;0
8524;06-01-25;06:00:00;73;65;27;263;65;65;55;16;74;63;61;773;95;87;899;0
8525;06-01-25;06:15:00;76;65;27;351;65;65;55;16;77;62;58;995;102;101;1134;0
8526;06-01-25;06:30:00;77;65;27;360;65;65;55;16;77;62;61;1072;114;107;1213;0
8527;06-01-25;06:45:00;76;65;27;343;65;65;55;18;77;62;61;1019;107;102;1126;0
8528;06-01-25;07:00:00;77;65;27;381;65;65;54;17;79;62;63;1217;118;115;1253;0
8529;06-01-25;07:15:00;77;65;27;371;65;65;55;17;80;62;61;1259;118;109;1401;0
8530;06-01-25;07:30:00;77;65;27;372;65;65;54;16;78;62;63;1191;119;109;1318;0
8531;06-01-25;07:45:00;75;65;27;319;65;65;54;17;77;62;61;1008;108;102;1119;0
8532;06-01-25;08:00:00;75;65;28;309;65;65;55;16;76;63;61;902;100;95;997;0
8533;06-01-25;08:15:00;75;65;27;316;65;65;55;17;77;63;62;995;97;96;1114;0
8534;06-01-25;08:30:00;74;65;28;304;65;65;55;18;76;63;63;940;100;97;1000;0
8535;06-01-25;08:45:00;74;65;28;294;65;65;55;17;75;63;63;901;93;89;962;0
8536;06-01-25;09:00:00;73;65;27;274;65;65;55;17;75;63;62;871;98;90;958;0
8537;06-01-25;09:15:00;73;65;27;267;65;65;55;17;74;63;62;790;60;84;853;0
8538;06-01-25;09:30:00;76;65;27;343;65;65;55;18;78;63;62;1049;98;98;1115;0
8539;06-01-25;09:45:00;75;65;27;317;65;65;56;17;77;63;58;925;110;112;1090;0
8540;06-01-25;10:00:00;74;65;27;273;65;65;56;15;75;63;62;787;100;94;840;0
8541;06-01-25;10:15:00;74;65;27;274;65;65;55;15;75;64;61;790;99;96;837;0
8542;06-01-25;10:30:00;73;65;27;266;65;65;55;13;75;63;61;791;102;99;861;0
8543;06-01-25;10:45:00;77;65;27;373;65;66;54;14;81;63;64;1327;129;123;1398;0
8544;06-01-25;11:00:00;75;65;28;318;65;65;55;14;77;63;62;943;116;109;1020;0
8545;06-01-25;11:15:00;74;65;27;298;65;65;55;14;76;63;63;925;119;113;991;0
8546;06-01-25;11:30:00;74;65;27;288;65;65;55;14;76;64;63;924;109;104;941;0
8547;06-01-25;11:45:00;75;65;27;296;65;66;55;14;77;63;62;927;104;99;974;0
8548;06-01-25;12:00:00;78;65;27;389;66;66;54;15;80;64;61;1138;117;106;1260;0
8549;06-01-25;12:15:00;77;65;26;348;66;66;55;16;79;64;60;1017;122;118;1169;0
8550;06-01-25;12:30:00;75;65;27;310;66;66;54;14;77;64;62;959;109;99;1029;0
8551;06-01-25;12:45:00;76;65;27;329;66;66;55;14;78;64;60;939;108;105;1030;0
8552;06-01-25;13:00:00;75;66;27;299;66;66;55;13;77;64;61;922;105;97;999;0
8553;06-01-25;13:15:00;77;65;27;364;66;66;55;14;80;63;61;1140;116;116;1293;0
8554;06-01-25;13:30:00;75;66;27;307;66;66;54;14;77;64;60;919;99;99;1017;0
8555;06-01-25;13:45:00;75;65;27;299;66;66;55;14;77;64;64;967;99;98;1030;0
8556;06-01-25;14:00:00;77;66;27;339;66;66;55;14;78;64;61;983;103;97;1097;0
8557;06-01-25;14:15:00;76;66;26;299;66;66;54;14;77;63;61;934;97;91;1051;0
8558;06-01-25;14:30:00;75;66;26;280;66;66;54;15;77;64;62;907;93;86;1000;0
