Record,Date,UTC Time,LIEB_Tc,LIEB_Tf,LIEB_Q,LIEB_P,JEN1_Tc,JEN1_Tf,JEN1_Q,JEN1_P,JEN2_Tc,JEN2_Tf,JEN2_Q,JEN2_P,HX1_P,HX2_P,Sech_P,Dig_P
     11501,07/02/2025,06:15:00,         67,         68,         24,         44,         80,         69,         52,        642,         78,         62,         59,       1061,         85,         80,       1389,          0
     11502,07/02/2025,06:30:00,         67,         69,         24,         41,         80,         69,         52,        641,         78,         62,         57,       1038,         85,         81,       1383,          0
     11503,07/02/2025,06:45:00,         67,         69,         24,         41,         80,         69,         52,        646,         79,         63,         59,       1044,         93,         87,       1379,          0
     11504,07/02/2025,07:00:00,         68,         69,         24,         41,         81,         70,         52,        640,         79,         63,         57,       1026,         90,         89,       1385,          0
     11505,07/02/2025,07:15:00,         68,         70,         24,         40,         81,         70,         51,        635,         80,         64,         58,       1044,         96,         91,       1396,          0
     11506,07/02/2025,07:30:00,         68,         70,         24,         41,         81,         70,         52,        643,         80,         64,         58,       1037,        101,         97,       1397,          0
     11507,07/02/2025,07:45:00,         68,         70,         23,         41,         81,         70,         52,        648,         80,         64,         59,       1040,         99,         97,       1405,          0
     11508,07/02/2025,08:00:00,         68,         70,         25,         41,         82,         70,         52,        657,         80,         65,         58,       1016,         99,        100,       1390,          0
     11509,07/02/2025,08:15:00,         69,         70,         24,         40,         82,         71,         52,        676,         80,         65,         58,       1011,        108,        104,       1406,          0
     11510,07/02/2025,08:30:00,         69,         70,         24,         37,         83,         71,         51,        708,         80,         65,         57,        985,        114,        108,       1458,          0
     11511,07/02/2025,08:45:00,         69,         70,         24,         35,         83,         71,         52,        738,         80,         65,         56,        966,        130,        123,       1416,          0
     11512,07/02/2025,09:00:00,         69,         70,         24,         36,         83,         71,         52,        737,         80,         65,         59,       1023,        128,        124,       1373,          0
     11513,07/02/2025,09:15:00,         69,         70,         24,         36,         83,         71,         52,        749,         81,         65,         59,       1011,        142,        136,       1399,          0
     11514,07/02/2025,09:30:00,         69,         71,         24,         37,         84,         71,         51,        739,         81,         66,         59,       1002,        131,        129,       1397,          0
     11515,07/02/2025,09:45:00,         70,         71,         24,         37,         84,         72,         52,        732,         81,         66,         58,        995,        131,        127,       1427,          0
     11516,07/02/2025,10:00:00,         70,         72,         24,         36,         84,         72,         52,        712,         82,         67,         56,        966,        126,        123,       1346,          0
     11517,07/02/2025,10:15:00,         70,         72,         24,         32,         84,         72,         52,        710,         82,         67,         58,        971,        131,        127,       1370,          0
     11518,07/02/2025,10:30:00,         71,         72,         24,         32,         84,         72,         52,        681,         83,         67,         59,       1007,        130,        128,       1336,          0
     11519,07/02/2025,10:45:00,         71,         72,         24,         34,         85,         73,         51,        722,         83,         68,         59,        986,        139,        135,       1303,          0
     11520,07/02/2025,11:00:00,         71,         72,         24,         34,         83,         73,         51,        629,         83,         68,         57,        962,        135,        128,       1337,          0
     11521,07/02/2025,11:15:00,         71,         73,         24,         36,         85,         73,         52,        698,         83,         68,         58,        968,        119,        110,       1319,          0
     11522,07/02/2025,11:30:00,         72,         74,         24,         35,         84,         74,         52,        615,         84,         69,         57,        972,        122,        118,       1347,          0
     11523,07/02/2025,11:45:00,         72,         73,         24,         34,         85,         74,         52,        648,         84,         69,         56,        950,        111,        108,       1313,          0
     11524,07/02/2025,12:00:00,         72,         74,         24,         35,         85,         74,         52,        661,         85,         69,         58,        995,        121,        116,       1319,          0
     11525,07/02/2025,12:15:00,         71,         72,         24,         30,         76,         73,         51,        200,         70,         68,         57,        135,        121,        102,        637,          0
     11526,07/02/2025,12:30:00,         68,         70,         25,         32,         70,         70,         52,          2,         67,         67,         58,          5,         40,         41,         58,          0
     11527,07/02/2025,12:45:00,         71,         72,         24,         34,         73,         72,         51,          9,         71,         71,         57,         23,          4,          8,         62,          0
     11528,07/02/2025,13:00:00,         69,         70,         24,         34,         72,         71,         52,         89,         68,         68,         58,          6,          4,          2,        110,          0
     11529,07/02/2025,13:15:00,         70,         72,         24,         34,         83,         72,         52,        663,         65,         65,         57,          7,         80,         76,        449,          0
     11530,07/02/2025,13:30:00,         70,         72,         24,         35,         84,         72,         52,        678,         66,         65,         59,         44,         84,         78,        464,          0
     11531,07/02/2025,13:45:00,         71,         73,         24,         40,         84,         73,         51,        637,         84,         68,         58,       1022,         85,         78,       1371,          0
     11532,07/02/2025,14:00:00,         73,         74,         24,         39,         86,         75,         52,        655,         86,         70,         57,       1020,        116,        109,       1350,          0
     11533,07/02/2025,14:15:00,         72,         74,         24,         38,         85,         74,         51,        643,         85,         69,         58,       1024,        103,        101,       1373,          0
     11534,07/02/2025,14:30:00,         72,         73,         24,         37,         85,         74,         51,        658,         84,         68,         59,       1064,        105,        104,       1486,          0
     11535,07/02/2025,14:45:00,         72,         73,         24,         39,         85,         74,         52,        650,         84,         68,         59,       1078,        105,        102,       1444,          0
     11536,07/02/2025,15:00:00,         71,         73,         24,         38,         84,         73,         52,        648,         83,         66,         58,       1073,         90,         84,       1511,          0
     11537,07/02/2025,15:15:00,         71,         72,         24,         35,         84,         72,         51,        647,         82,         66,         60,       1095,         88,         88,       1495,          0
     11538,07/02/2025,15:30:00,         70,         71,         24,         37,         83,         72,         52,        656,         81,         65,         57,       1056,         93,         87,       1468,          0
     11539,07/02/2025,15:45:00,         69,         70,         24,         35,         82,         71,         51,        651,         80,         64,         59,       1070,         96,         91,       1426,          0
     11540,07/02/2025,16:00:00,         67,         69,         25,         38,         80,         69,         52,        668,         80,         64,         58,       1061,        182,        134,       1388,          0
     11541,07/02/2025,16:15:00,         68,         69,         24,         41,         81,         70,         52,        651,         80,         64,         57,       1043,        102,         99,       1455,          0
     11542,07/02/2025,16:30:00,         68,         69,         24,         39,         81,         70,         52,        645,         80,         64,         58,       1049,         98,         95,       1441,          0
     11543,07/02/2025,16:45:00,         69,         71,         24,         42,         82,         71,         52,        640,         80,         64,         58,       1054,         69,         66,       1471,          0
     11544,07/02/2025,17:00:00,         70,         71,         24,         41,         82,         72,         52,        633,         81,         65,         58,       1071,         72,         68,       1463,          0
     11545,07/02/2025,17:15:00,         70,         72,         24,         42,         83,         72,         52,        631,         82,         65,         58,       1098,         75,         70,       1522,          0
     11546,07/02/2025,17:30:00,         70,         71,         24,         42,         83,         72,         52,        632,         81,         64,         59,       1125,         69,         64,       1532,          0
     11547,07/02/2025,17:45:00,         69,         71,         24,         43,         82,         71,         51,        634,         80,         64,         58,       1079,         68,         64,       1546,          0
