Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;Pc_RU;Pf_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
5001;04/25/2025;13:15:00;72;58;50;50;4600;2393;72;79;74;67;28;41;75;67;28;41
5002;04/25/2025;13:30:00;74;59;50;50;4589;2401;74;80;75;68;27;37;76;68;27;37
5003;04/25/2025;13:45:00;74;59;50;50;4633;2416;73;80;75;68;27;37;76;68;28;37
5004;04/25/2025;14:00:00;73;59;50;50;4621;2411;73;79;74;67;27;38;76;67;28;38
5005;04/25/2025;14:15:00;74;59;50;50;4643;2424;74;80;74;69;27;36;76;68;27;36
5006;04/25/2025;14:30:00;74;60;50;50;4663;2435;74;81;76;68;26;35;77;68;27;35
5007;04/25/2025;14:45:00;75;59;51;50;4688;2446;75;81;76;69;26;34;77;68;27;34
5008;04/25/2025;15:00:00;74;60;50;50;4666;2458;74;80;75;69;26;34;76;68;27;34
5009;04/25/2025;15:15:00;74;60;50;50;4663;2468;74;80;75;68;26;35;76;69;26;35
5010;04/25/2025;15:30:00;74;60;50;50;4669;2471;74;80;75;69;26;33;77;69;26;34
5011;04/25/2025;15:45:00;75;60;50;50;4734;2452;75;81;77;69;26;33;77;69;26;34
5012;04/25/2025;16:00:00;74;60;50;50;4660;2467;74;81;75;69;25;31;76;69;25;31
5013;04/25/2025;16:15:00;74;60;50;50;4734;2452;74;80;75;69;25;33;77;69;26;33
5014;04/25/2025;16:30:00;74;61;50;50;4704;2456;74;80;75;69;25;33;76;69;26;33
5015;04/25/2025;16:45:00;76;60;50;50;4735;2474;76;82;77;69;25;31;78;69;25;31
5016;04/25/2025;17:00:00;76;60;50;50;4740;2458;75;82;77;69;25;32;77;69;26;32
5017;04/25/2025;17:15:00;75;60;49;49;4677;2483;74;81;76;69;26;33;76;69;26;33
5018;04/25/2025;17:30:00;74;61;50;50;4706;2485;75;81;75;69;25;31;76;69;26;31
5019;04/25/2025;17:45:00;75;61;50;50;4706;2477;75;81;76;69;25;31;78;70;26;31
5020;04/25/2025;18:00:00;75;61;50;50;4673;2494;74;81;75;70;25;31;76;69;26;31
5021;04/25/2025;18:15:00;74;61;50;49;4651;2474;74;80;75;69;25;30;76;70;25;30
5022;04/25/2025;18:30:00;74;61;50;50;4702;2464;74;80;74;69;25;33;76;69;26;33
5023;04/25/2025;18:45:00;75;61;49;49;4641;2462;75;81;76;70;25;30;78;70;26;30
5024;04/25/2025;19:00:00;75;60;50;50;4669;2467;74;80;75;69;26;33;76;68;26;33
5025;04/25/2025;19:15:00;74;61;50;50;4668;2463;74;80;75;69;26;33;76;69;26;33
