Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;Pc_RU;Pf_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
11001;06/27/2025;01:15:00;73;65;45;45;4261;2387;73;634;72;72;23;21;73;71;24;21
11002;06/27/2025;01:30:00;72;64;46;46;4292;2373;73;633;71;71;24;22;74;72;25;22
11003;06/27/2025;01:45:00;73;64;46;46;4327;2348;73;633;72;72;24;23;74;71;25;23
11004;06/27/2025;02:00:00;73;64;45;46;4223;2339;73;631;71;72;24;23;73;71;24;23
11005;06/27/2025;02:15:00;71;62;47;47;4433;2323;71;629;70;70;25;29;71;70;26;29
11006;06/27/2025;02:30:00;70;64;46;46;4270;2312;69;627;68;70;26;31;69;69;27;31
11007;06/27/2025;02:45:00;73;64;45;47;4286;2275;73;633;72;72;24;22;74;71;24;22
11008;06/27/2025;03:00:00;72;63;48;46;4459;2408;73;630;71;71;25;27;73;71;26;27
11009;06/27/2025;03:15:00;70;62;48;48;4485;2380;71;629;70;70;25;31;71;70;26;31
11010;06/27/2025;03:30:00;71;63;48;48;4440;2374;70;630;70;70;26;29;72;70;26;29
11011;06/27/2025;03:45:00;70;63;48;48;4433;2340;71;631;71;70;26;28;73;70;26;28
11012;06/27/2025;04:00:00;72;62;49;48;4459;2338;72;631;71;69;27;34;72;69;27;34
11013;06/27/2025;04:15:00;70;62;48;49;4470;2314;69;631;69;69;27;33;71;69;27;33
11014;06/27/2025;04:30:00;70;62;49;49;4452;2303;70;632;70;69;26;33;72;69;27;33
11015;06/27/2025;04:45:00;72;62;48;48;4404;2296;73;635;71;70;26;30;73;69;26;30
11016;06/27/2025;05:00:00;71;62;48;48;4417;2308;71;630;70;69;27;33;72;68;28;33
11017;06/27/2025;05:15:00;67;61;49;49;4470;2281;67;629;67;68;29;39;68;67;29;39
11018;06/27/2025;05:30:00;71;61;49;50;4472;2275;70;635;69;68;28;36;71;68;28;36
11019;06/27/2025;05:45:00;70;60;49;50;4515;2278;70;635;70;68;28;38;71;67;29;38
11020;06/27/2025;06:00:00;71;60;50;50;4518;2295;70;634;70;68;28;38;71;67;29;38
11021;06/27/2025;06:15:00;71;61;49;49;4424;2277;70;756;71;68;27;36;72;68;29;36
11022;06/27/2025;06:30:00;71;61;49;49;4367;2289;71;685;71;69;27;35;73;68;27;35
11023;06/27/2025;06:45:00;71;61;49;49;4380;2291;71;655;71;69;28;35;72;68;28;35
11024;06/27/2025;07:00:00;71;61;50;50;4472;2289;71;645;72;69;27;35;73;68;27;35
11025;06/27/2025;07:15:00;71;61;49;49;4378;2313;72;646;72;69;27;34;74;68;27;34
11026;06/27/2025;07:30:00;73;61;49;49;4435;2316;72;643;73;69;27;35;75;68;27;35
11027;06/27/2025;07:45:00;71;61;50;50;4503;2313;71;641;71;68;28;36;72;68;28;36
11028;06/27/2025;08:00:00;72;62;49;48;4418;2327;72;641;72;69;27;33;73;69;27;33
11029;06/27/2025;08:15:00;72;62;49;49;4429;2338;72;641;72;69;26;34;73;68;28;34
11030;06/27/2025;08:30:00;73;61;49;49;4434;2346;73;641;73;69;26;32;74;69;27;32
11031;06/27/2025;08:45:00;72;62;48;49;4386;2353;72;637;72;69;26;33;73;69;27;33
11032;06/27/2025;09:00:00;66;62;47;48;4353;2356;66;634;66;68;29;39;68;67;30;39
11033;06/27/2025;09:15:00;73;62;48;48;4364;2337;72;640;73;70;27;31;75;69;26;31
11034;06/27/2025;09:30:00;73;62;48;48;4389;2353;73;640;74;70;25;30;75;70;26;31
11035;06/27/2025;09:45:00;65;62;48;49;4407;2308;65;631;63;66;30;44;64;66;30;44
11036;06/27/2025;10:00:00;74;62;48;48;4348;2312;74;640;75;70;25;28;77;70;26;28
11037;06/27/2025;10:15:00;72;62;48;48;4375;2317;72;637;71;70;26;32;73;69;26;32
11038;06/27/2025;10:30:00;72;63;47;47;4318;2313;72;636;71;70;26;31;73;70;27;31
11039;06/27/2025;10:45:00;72;62;48;48;4351;2330;72;637;71;70;26;32;73;69;27;32
11040;06/27/2025;11:00:00;72;62;49;49;4442;2325;72;637;71;70;26;32;73;69;27;33
11041;06/27/2025;11:15:00;72;62;47;48;4359;2327;72;636;72;69;26;31;73;69;26;31
11042;06/27/2025;11:30:00;72;62;48;48;4392;2323;72;635;71;69;26;32;73;69;26;32
11043;06/27/2025;11:45:00;72;62;48;49;4446;2320;72;636;72;69;26;32;73;69;27;32
11044;06/27/2025;12:00:00;72;62;48;49;4463;2327;72;634;72;69;26;34;74;68;27;34
11045;06/27/2025;12:15:00;72;61;50;49;4502;2336;72;632;71;69;27;33;73;69;28;34
11046;06/27/2025;12:30:00;73;63;47;48;4346;2348;73;633;72;70;25;30;74;70;26;30
11047;06/27/2025;12:45:00;73;62;48;48;4437;2361;72;629;72;70;26;30;74;69;27;30
11048;06/27/2025;13:00:00;72;62;49;48;4492;2379;73;627;72;70;26;32;74;69;27;32
11049;06/27/2025;13:15:00;73;63;46;46;4391;2402;73;626;72;70;25;29;74;70;26;29
11050;06/27/2025;13:30:00;74;63;48;48;4428;2384;73;626;73;70;25;29;75;70;26;29
11051;06/27/2025;13:45:00;74;63;47;47;4429;2415;74;627;74;71;24;27;75;70;25;27
11052;06/27/2025;14:00:00;74;63;46;45;4366;2448;74;626;73;71;24;26;75;71;25;26
11053;06/27/2025;14:15:00;73;64;47;46;4414;2436;73;628;73;71;25;27;74;70;25;27
11054;06/27/2025;14:30:00;74;64;46;47;4424;2458;74;627;74;72;24;25;75;71;25;25
11055;06/27/2025;14:45:00;73;63;46;46;4444;2478;74;631;74;71;25;27;76;71;25;27
11056;06/27/2025;15:00:00;74;64;47;46;4472;2471;75;635;74;71;23;24;76;72;25;24
11057;06/27/2025;15:15:00;74;64;46;46;4426;2489;75;635;74;72;24;23;76;72;24;23
11058;06/27/2025;15:30:00;75;64;45;45;4401;2489;75;635;75;72;24;21;76;72;25;21
11059;06/27/2025;15:45:00;75;64;46;46;4463;2500;75;635;75;72;24;22;76;72;24;22
11060;06/27/2025;16:00:00;75;64;47;47;4475;2501;76;636;74;73;24;22;76;73;24;22
11061;06/27/2025;16:15:00;76;64;46;47;4479;2504;76;638;75;72;23;19;77;72;24;19
11062;06/27/2025;16:30:00;77;65;46;46;4453;2559;77;639;77;73;23;17;78;73;23;18
11063;06/27/2025;16:45:00;77;65;45;46;4449;2535;76;641;76;73;22;18;78;73;23;18
11064;06/27/2025;17:00:00;76;65;45;45;4423;2555;76;642;76;73;22;17;77;72;23;17
11065;06/27/2025;17:15:00;77;65;46;46;4326;2412;77;642;76;73;22;18;78;73;23;18
11066;06/27/2025;17:30:00;77;65;45;45;4304;2427;77;639;77;73;22;16;77;73;23;16
11067;06/27/2025;17:45:00;77;65;46;45;4320;2454;77;641;76;73;23;17;78;73;23;17
11068;06/27/2025;18:00:00;77;65;45;46;4334;2448;77;643;76;74;23;16;78;73;23;16
