Record,Date,UTC Time,Tc_RU,Tf_RU,Hz1_RU,Hz2_RU,Pc_RU,Pf_RU,Tc_HX1_RU,Tc_HX2_RU,Tc_HX1_CIN,Tf_HX1_CIN,Q_HX1_CIN,Hz_HX1_CIN,Tc_HX2_CIN,Tf_HX2_CIN,Q_HX2_CIN,Hz_HX2_CIN
      3001,08/09/2025,02:15:00,         74,         61,         48,         49,       4554,       2226,         75,        600,         74,         72,         23,         23,         75,         71,         24,         23
      3002,08/09/2025,02:30:00,         74,         61,         50,         50,       4682,       2346,         75,        598,         74,         72,         24,         25,         75,         70,         23,         25
      3003,08/09/2025,02:45:00,         74,         61,         49,         49,       4681,       2377,         74,        600,         73,         71,         24,         25,         75,         71,         24,         25
      3004,08/09/2025,03:00:00,         74,         62,         49,         49,       4619,       2367,         74,        598,         73,         72,         23,         22,         75,         71,         23,         23
      3005,08/09/2025,03:15:00,         75,         62,         48,         48,       4562,       2374,         74,        599,         74,         72,         23,         23,         75,         71,         24,         23
      3006,08/09/2025,03:30:00,         74,         62,         49,         48,       4566,       2360,         75,        598,         73,         72,         23,         22,         75,         71,         23,         22
      3007,08/09/2025,03:45:00,         75,         62,         49,         49,       4631,       2315,         74,        597,         73,         72,         22,         20,         75,         72,         24,         20
      3008,08/09/2025,04:00:00,         74,         61,         48,         49,       4578,       2340,         75,        600,         74,         72,         23,         22,         75,         71,         23,         22
      3009,08/09/2025,04:15:00,         74,         62,         48,         49,       4604,       2342,         75,        598,         74,         72,         23,         21,         75,         71,         23,         21
      3010,08/09/2025,04:30:00,         75,         62,         49,         48,       4546,       2349,         74,        602,         74,         72,         23,         22,         75,         71,         23,         22
      3011,08/09/2025,04:45:00,         74,         60,         49,         50,       4613,       2331,         74,        597,         74,         71,         24,         25,         74,         71,         24,         25
      3012,08/09/2025,05:00:00,         74,         61,         47,         49,       4566,       2323,         74,        600,         73,         71,         23,         23,         75,         71,         24,         23
      3013,08/09/2025,05:15:00,         74,         62,         48,         48,       4519,       2328,         74,        599,         73,         72,         23,         23,         75,         71,         24,         23
      3014,08/09/2025,05:30:00,         74,         62,         48,         48,       4500,       2318,         74,        595,         74,         71,         23,         24,         75,         71,         24,         24
      3015,08/09/2025,05:45:00,         74,         62,         48,         48,       4472,       2298,         74,        597,         73,         71,         24,         24,         75,         71,         24,         24
      3016,08/09/2025,06:00:00,         74,         62,         47,         48,       4438,       2305,         74,        600,         74,         71,         23,         25,         75,         71,         24,         25
      3017,08/09/2025,06:15:00,         74,         62,         48,         48,       4468,       2311,         74,        596,         74,         71,         24,         24,         75,         71,         24,         24
      3018,08/09/2025,06:30:00,         74,         62,         49,         49,       4558,       2301,         74,        599,         73,         71,         24,         26,         74,         70,         25,         26
      3019,08/09/2025,06:45:00,         74,         62,         48,         48,       4500,       2293,         74,        598,         74,         71,         24,         23,         76,         71,         24,         23
      3020,08/09/2025,07:00:00,         75,         62,         48,         48,       4499,       2292,         75,        599,         74,         72,         23,         21,         76,         72,         23,         21
      3021,08/09/2025,07:15:00,         75,         62,         49,         48,       4525,       2302,         75,        597,         75,         72,         22,         20,         75,         72,         23,         20
      3022,08/09/2025,07:30:00,         75,         61,         48,         48,       4513,       2298,         75,        597,         74,         72,         23,         20,         76,         72,         23,         20
      3023,08/09/2025,07:45:00,         75,         62,         48,         49,       4493,       2290,         76,        594,         74,         72,         22,         20,         76,         72,         23,         20
      3024,08/09/2025,08:00:00,         76,         62,         47,         48,       4461,       2305,         76,        587,         75,         72,         22,         21,         76,         72,         23,         22
      3025,08/09/2025,08:15:00,         76,         63,         48,         47,       4446,       2285,         76,        589,         75,         72,         23,         19,         76,         72,         23,         19
      3026,08/09/2025,08:30:00,         76,         63,         48,         48,       4495,       2287,         76,        592,         76,         73,         22,         18,         77,         73,         22,         18
      3027,08/09/2025,08:45:00,         76,         62,         47,         47,       4419,       2303,         76,        593,         76,         73,         22,         17,         77,         73,         23,         17
      3028,08/09/2025,09:00:00,         76,         63,         47,         47,       4413,       2291,         76,        594,         76,         72,         22,         18,         78,         72,         22,         19
      3029,08/09/2025,09:15:00,         77,         63,         48,         48,       4434,       2287,         76,        588,         76,         73,         22,         19,         77,         72,         23,         19
      3030,08/09/2025,09:30:00,         76,         62,         49,         48,       4543,       2304,         76,        590,         75,         72,         23,         21,         76,         72,         23,         22
      3031,08/09/2025,09:45:00,         76,         62,         48,         48,       4446,       2307,         76,        593,         76,         73,         23,         19,         77,         72,         23,         19
      3032,08/09/2025,10:00:00,         76,         63,         47,         48,       4439,       2326,         77,        588,         77,         72,         23,         19,         77,         72,         23,         19
