Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;Pc_RU;Pf_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
10501;06/21/2025;20:15:00;77;68;42;43;4036;2403;77;622;76;76;22;11;77;75;23;11
10502;06/21/2025;20:30:00;77;69;41;41;3993;2390;77;627;75;76;22;11;77;75;22;11
10503;06/21/2025;20:45:00;77;69;42;42;3971;2358;77;627;77;76;21;11;77;75;22;11
10504;06/21/2025;21:00:00;78;68;42;42;3938;2348;78;622;77;76;22;11;78;75;23;11
10505;06/21/2025;21:15:00;76;67;43;43;4062;2338;76;624;75;74;22;12;76;74;23;13
10506;06/21/2025;21:30:00;76;67;43;43;3983;2333;75;624;76;74;22;12;76;74;22;12
10507;06/21/2025;21:45:00;75;66;44;44;4054;2300;76;628;75;74;22;12;76;74;22;13
10508;06/21/2025;22:00:00;77;67;43;43;3971;2303;77;635;76;75;22;11;78;74;23;11
10509;06/21/2025;22:15:00;76;67;43;44;4009;2301;75;627;75;75;21;13;76;74;22;13
10510;06/21/2025;22:30:00;75;67;43;43;3977;2270;75;617;74;74;22;15;76;73;23;15
10511;06/21/2025;22:45:00;74;66;43;43;4172;2414;75;628;74;74;22;15;75;73;23;16
10512;06/21/2025;23:00:00;76;67;44;44;4166;2398;77;627;75;74;22;14;77;74;23;14
10513;06/21/2025;23:15:00;74;66;45;45;4203;2389;75;625;74;74;22;15;75;73;23;15
10514;06/21/2025;23:30:00;74;65;44;46;4280;2381;74;627;73;73;23;19;75;73;24;19
10515;06/21/2025;23:45:00;74;65;45;46;4301;2365;74;636;73;73;23;20;74;72;24;21
10516;06/22/2025;00:00:00;74;65;45;44;4221;2380;74;628;72;72;23;21;74;72;24;21
10517;06/22/2025;00:15:00;74;65;45;45;4212;2357;74;631;73;74;23;18;75;73;23;18
10518;06/22/2025;00:30:00;75;66;45;45;4206;2342;75;633;75;74;22;17;76;73;23;16
10519;06/22/2025;00:45:00;74;65;45;45;4189;2333;74;624;73;74;24;19;75;72;24;19
10520;06/22/2025;01:00:00;74;65;46;45;4247;2317;74;630;73;72;23;18;75;72;24;18
10521;06/22/2025;01:15:00;76;66;45;45;4161;2327;75;622;74;74;23;15;75;73;23;15
10522;06/22/2025;01:30:00;75;65;45;45;4176;2311;74;637;74;73;23;19;75;72;23;19
10523;06/22/2025;01:45:00;74;65;45;46;4195;2306;74;619;73;73;23;20;75;72;24;20
10524;06/22/2025;02:00:00;74;64;45;45;4224;2287;74;636;73;72;23;20;75;72;24;20
10525;06/22/2025;02:15:00;76;66;45;45;4205;2301;76;637;75;73;22;16;77;73;23;17
10526;06/22/2025;02:30:00;75;65;46;46;4258;2287;75;640;74;72;23;20;76;72;24;19
10527;06/22/2025;02:45:00;74;65;46;46;4218;2303;75;643;74;72;24;21;75;72;24;21
10528;06/22/2025;03:00:00;76;64;46;46;4229;2300;77;641;76;73;23;16;78;73;23;17
10529;06/22/2025;03:15:00;77;64;46;46;4224;2310;76;637;76;73;23;19;77;72;23;19
10530;06/22/2025;03:30:00;75;64;46;45;4190;2296;74;643;74;73;23;20;75;72;24;20
