Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;Pc_RU;Pf_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
9001;06-06-25;05:15:00;62;56;50;50;4610;2374;61;61;60;62;33;50;62;61;33;51
9002;06-06-25;05:30:00;63;57;50;50;4590;2355;62;62;61;62;33;50;62;62;33;51
9003;06-06-25;05:45:00;62;56;50;50;4575;2355;62;62;61;62;32;50;62;61;33;51
9004;06-06-25;06:00:00;61;55;51;50;4556;2332;61;61;60;62;33;50;61;61;33;51
9005;06-06-25;06:15:00;61;55;50;50;4535;2309;60;61;59;61;32;51;61;60;33;51
9006;06-06-25;06:30:00;61;54;50;50;4484;2286;59;60;59;60;32;50;60;58;33;51
9007;06-06-25;06:45:00;60;53;50;50;4485;2280;59;59;58;59;33;50;59;58;33;51
9008;06-06-25;07:00:00;59;54;50;50;4453;2256;59;59;59;59;33;50;59;59;32;51
9009;06-06-25;07:15:00;59;53;50;50;4419;2260;59;59;58;58;33;51;59;58;34;50
9010;06-06-25;07:30:00;59;53;50;50;4556;2374;59;59;58;59;32;50;59;58;33;51
9011;06-06-25;07:45:00;58;52;50;50;4543;2351;57;58;57;58;33;50;58;57;33;51
8512;06-01-25;03:00:00;69;60;50;50;4505;2295;69;69;69;68;29;40;70;67;29;40
8513;06-01-25;03:15:00;70;61;49;49;4444;2290;70;70;69;68;28;37;71;68;28;37
8514;06-01-25;03:30:00;70;61;49;50;4482;2284;69;70;70;68;28;39;71;68;29;39
8515;06-01-25;03:45:00;69;60;50;50;4535;2287;69;69;69;67;29;41;70;67;30;41
8516;06-01-25;04:00:00;68;59;50;50;4529;2272;68;68;68;66;30;45;69;66;31;45
8517;06-01-25;04:15:00;68;59;50;50;4510;2275;68;68;68;67;30;42;69;66;30;42
8518;06-01-25;04:30:00;68;60;50;50;4497;2256;68;68;68;67;30;42;69;66;30;42
8519;06-01-25;04:45:00;69;60;50;50;4520;2262;68;68;68;66;30;43;69;67;30;43
8520;06-01-25;05:00:00;68;60;50;50;4501;2260;69;68;67;67;30;42;69;66;30;42
8521;06-01-25;05:15:00;68;59;50;51;4628;2389;68;68;68;67;30;43;69;66;30;43
8522;06-01-25;05:30:00;69;60;50;50;4626;2375;69;68;68;67;29;42;69;67;29;42
8523;06-01-25;05:45:00;68;60;50;50;4631;2392;68;68;68;67;30;43;69;66;31;43
8524;06-01-25;06:00:00;68;59;51;50;4605;2365;68;68;67;66;31;44;68;66;31;45
8525;06-01-25;06:15:00;68;59;50;50;4599;2371;68;68;68;66;29;43;70;66;30;43
8526;06-01-25;06:30:00;69;60;50;50;4587;2367;69;69;68;67;29;42;70;66;30;42
8527;06-01-25;06:45:00;68;59;50;50;4594;2355;69;68;68;66;30;44;69;66;30;44
8528;06-01-25;07:00:00;69;59;51;50;4604;2360;69;69;69;67;29;42;70;66;30;42
8529;06-01-25;07:15:00;69;59;50;50;4610;2372;69;69;69;67;30;43;70;66;30;43
8530;06-01-25;07:30:00;69;59;50;50;4612;2360;68;69;68;67;30;44;69;66;30;44
8531;06-01-25;07:45:00;68;59;50;50;4610;2366;68;68;68;67;30;44;69;66;30;45
8532;06-01-25;08:00:00;68;59;50;50;4610;2364;68;68;67;66;30;43;69;66;31;43
8533;06-01-25;08:15:00;68;59;50;51;4615;2368;68;68;68;66;29;44;70;66;31;44
8534;06-01-25;08:30:00;68;59;50;50;4584;2372;68;68;68;66;30;46;69;66;31;46
8535;06-01-25;08:45:00;67;59;50;50;4558;2349;68;68;67;66;30;45;69;66;31;45
8536;06-01-25;09:00:00;68;59;50;50;4589;2349;68;68;68;66;31;43;68;66;31;43
8537;06-01-25;09:15:00;68;59;50;50;4577;2351;68;68;67;67;30;44;69;66;30;44
8538;06-01-25;09:30:00;68;59;50;50;4565;2337;68;68;68;66;30;43;70;66;30;44
8539;06-01-25;09:45:00;68;59;50;50;4584;2340;68;68;68;66;30;42;69;66;31;43
8540;06-01-25;10:00:00;68;59;50;51;4576;2341;67;67;68;66;31;45;69;66;31;45
8541;06-01-25;10:15:00;68;60;50;50;4579;2351;68;68;67;66;30;45;69;66;31;46
8542;06-01-25;10:30:00;68;59;50;51;4595;2353;68;68;67;65;31;45;69;66;31;45
8543;06-01-25;10:45:00;69;59;50;50;4599;2358;69;69;68;67;30;44;70;67;30;44
8544;06-01-25;11:00:00;68;60;51;51;4593;2365;68;68;68;66;30;44;69;66;31;44
8545;06-01-25;11:15:00;69;60;51;50;4582;2369;68;68;68;66;31;46;69;65;32;46
8546;06-01-25;11:30:00;68;59;50;50;4585;2369;68;67;68;66;31;46;69;65;31;46
8547;06-01-25;11:45:00;69;59;50;50;4596;2356;68;68;68;66;31;45;69;66;31;45
8548;06-01-25;12:00:00;69;60;49;49;4610;2377;69;69;69;67;29;42;70;66;30;42
8549;06-01-25;12:15:00;69;60;50;50;4609;2377;68;69;69;67;29;42;70;67;30;43
8550;06-01-25;12:30:00;69;60;50;51;4622;2381;68;68;68;66;29;43;70;66;30;43
8551;06-01-25;12:45:00;69;60;50;50;4585;2394;69;69;69;67;29;42;70;66;30;42
8552;06-01-25;13:00:00;70;60;50;50;4632;2389;69;69;69;67;30;42;69;67;29;42
8553;06-01-25;13:15:00;70;60;50;50;4653;2413;69;70;69;67;29;42;70;67;30;42
8554;06-01-25;13:30:00;69;60;50;50;4661;2404;69;69;69;67;29;41;70;67;31;42
8555;06-01-25;13:45:00;69;60;51;50;4651;2411;69;69;68;67;29;42;69;66;30;42
8556;06-01-25;14:00:00;69;60;50;50;4648;2419;69;69;69;67;29;40;70;67;30;40
8557;06-01-25;14:15:00;69;60;50;50;4616;2429;68;69;69;68;29;39;70;67;29;39
8558;06-01-25;14:30:00;69;61;49;49;4574;2434;69;69;69;67;29;41;70;67;29;41
8559;06-01-25;14:45:00;69;61;50;50;4620;2416;69;69;69;67;29;41;69;68;30;41
8560;06-01-25;15:00:00;69;61;49;49;4574;2408;69;69;69;68;29;40;70;67;29;40
8561;06-01-25;15:15:00;70;60;50;50;4627;2423;70;70;69;68;28;40;70;67;29;40
8562;06-01-25;15:30:00;70;61;49;49;4577;2422;69;70;69;68;28;39;70;67;29;39
8563;06-01-25;15:45:00;70;61;49;50;4560;2414;69;69;69;68;28;39;70;67;29;39
8564;06-01-25;16:00:00;70;60;49;50;4611;2408;69;70;69;67;29;40;70;67;29;40
8565;06-01-25;16:15:00;70;61;48;50;4596;2391;70;70;69;68;29;39;71;68;29;39
