Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;Pc_RU;Pf_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
8001;05/26/2025;19:15:00;73;61;49;49;4628;2434;73;74;73;71;26;29;75;69;27;29
8002;05/26/2025;19:30:00;75;61;50;49;4634;2434;75;75;74;71;26;27;76;70;26;28
8003;05/26/2025;19:45:00;74;61;49;48;4620;2436;74;73;73;70;26;29;75;70;26;29
8004;05/26/2025;20:00:00;73;61;49;49;4635;2444;73;74;73;69;27;32;74;69;27;32
8005;05/26/2025;20:15:00;74;61;49;49;4615;2440;74;74;74;70;26;28;75;70;27;28
8006;05/26/2025;20:30:00;73;61;49;49;4615;2457;73;73;73;70;26;29;74;70;26;30
8007;05/26/2025;20:45:00;73;61;49;49;4655;2444;73;73;73;70;25;28;74;70;26;28
8008;05/26/2025;21:00:00;75;62;48;49;4627;2455;75;76;75;72;25;24;77;71;25;24
8009;05/26/2025;21:15:00;74;61;49;49;4679;2456;74;74;74;71;26;27;75;70;26;27
8010;05/26/2025;21:30:00;74;61;49;49;4675;2445;73;74;74;71;25;27;75;70;27;27
8011;05/26/2025;21:45:00;75;61;48;49;4635;2452;74;75;74;71;25;27;76;70;26;27
8012;05/26/2025;22:00:00;75;61;49;49;4670;2454;75;75;75;71;25;25;76;71;26;25
8013;05/26/2025;22:15:00;75;61;49;49;4642;2465;75;74;74;71;25;27;76;70;26;27
8014;05/26/2025;22:30:00;74;62;49;49;4621;2465;74;74;73;71;26;25;75;70;26;26
8015;05/26/2025;22:45:00;74;61;48;48;4628;2455;74;74;74;71;26;27;76;70;26;27
8016;05/26/2025;23:00:00;75;62;48;49;4589;2461;75;75;74;71;25;26;76;70;26;26
8017;05/26/2025;23:15:00;74;61;49;49;4668;2461;74;74;73;70;26;29;75;69;26;29
8018;05/26/2025;23:30:00;74;62;49;49;4615;2479;74;74;73;71;26;28;75;70;27;28
8019;05/26/2025;23:45:00;73;62;49;48;4600;2458;73;74;72;70;26;28;75;70;27;28
8020;05/27/2025;00:00:00;74;62;48;48;4541;2456;74;74;73;71;25;27;75;70;26;27
8021;05/27/2025;00:15:00;74;62;47;48;4583;2457;75;75;75;71;25;26;76;70;26;27
