Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;Pc_RU;Pf_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
8501;06-01-25;00:15:00;71;62;48;48;4451;2385;71;71;70;69;27;32;72;69;27;32
8502;06-01-25;00:30:00;70;61;49;48;4465;2389;70;70;70;68;27;38;71;67;28;38
8503;06-01-25;00:45:00;70;62;49;49;4494;2370;70;70;69;69;27;33;71;68;27;34
8504;06-01-25;01:00:00;71;63;48;48;4410;2376;71;71;71;69;26;32;72;69;27;32
8505;06-01-25;01:15:00;71;62;48;48;4411;2380;70;70;70;69;27;34;71;68;28;34
8506;06-01-25;01:30:00;70;61;49;50;4513;2344;69;70;70;69;27;35;70;68;27;35
8507;06-01-25;01:45:00;70;62;49;48;4452;2363;69;69;69;68;27;37;70;68;28;37
8508;06-01-25;02:00:00;70;61;49;48;4451;2352;69;69;69;68;28;37;70;68;28;37
8509;06-01-25;02:15:00;70;61;49;49;4479;2328;70;69;69;68;28;37;71;68;28;37
8510;06-01-25;02:30:00;70;61;49;49;4414;2322;69;69;70;68;28;38;70;67;29;38
8511;06-01-25;02:45:00;69;61;49;49;4474;2316;69;69;69;68;28;38;69;67;29;38
8512;06-01-25;03:00:00;69;60;50;50;4505;2295;69;69;69;68;29;40;70;67;29;40
8513;06-01-25;03:15:00;70;61;49;49;4444;2290;70;70;69;68;28;37;71;68;28;37
8514;06-01-25;03:30:00;70;61;49;50;4482;2284;69;70;70;68;28;39;71;68;29;39
8515;06-01-25;03:45:00;69;60;50;50;4535;2287;69;69;69;67;29;41;70;67;30;41
8516;06-01-25;04:00:00;68;59;50;50;4529;2272;68;68;68;66;30;45;69;66;31;45
8517;06-01-25;04:15:00;68;59;50;50;4510;2275;68;68;68;67;30;42;69;66;30;42
8518;06-01-25;04:30:00;68;60;50;50;4497;2256;68;68;68;67;30;42;69;66;30;42
8519;06-01-25;04:45:00;69;60;50;50;4520;2262;68;68;68;66;30;43;69;67;30;43
