Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;Pc_RU;Pf_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
2001;03/25/2025;07:15:00;73;59;50;50;4417;2336;73;76;76;68;30;40;78;68;30;40
2002;03/25/2025;07:30:00;73;57;50;50;4404;2317;72;74;75;66;32;49;77;66;33;49
2003;03/25/2025;07:45:00;72;57;51;50;4435;2340;72;74;74;66;32;48;75;66;33;49
2004;03/25/2025;08:00:00;74;57;50;50;4464;2348;73;76;77;67;31;45;78;67;30;45
2005;03/25/2025;08:15:00;73;58;50;50;4473;2360;73;74;75;67;30;45;76;67;31;45
2006;03/25/2025;08:30:00;73;57;50;50;4506;2370;73;75;76;67;30;48;77;66;31;48
2007;03/25/2025;08:45:00;73;57;50;50;4533;2392;73;75;75;66;30;45;77;67;31;45
2008;03/25/2025;09:00:00;74;58;50;50;4566;2407;73;76;76;67;30;45;77;67;31;45
2009;03/25/2025;09:15:00;74;58;50;50;4581;2419;73;76;75;67;29;44;77;67;30;44
2010;03/25/2025;09:30:00;74;58;50;50;4583;2414;73;76;75;68;29;42;77;68;30;42
2011;03/25/2025;09:45:00;76;59;50;50;4612;2433;75;78;77;68;28;42;79;67;29;42
2012;03/25/2025;10:00:00;75;59;50;50;4623;2461;75;78;77;68;28;40;78;68;29;40
2013;03/25/2025;10:15:00;76;59;50;50;4705;2462;76;78;77;69;28;37;79;69;28;37
2014;03/25/2025;10:30:00;75;59;50;50;4655;2483;75;77;77;68;28;40;78;68;28;40
2015;03/25/2025;10:45:00;75;59;51;50;4689;2485;75;78;77;69;27;37;79;69;28;37
2016;03/25/2025;11:00:00;76;59;50;50;4735;2523;75;78;78;69;27;37;79;69;28;37
2017;03/25/2025;11:15:00;76;60;50;50;4722;2518;75;78;77;69;28;38;79;68;28;38
2018;03/25/2025;11:30:00;78;60;49;50;4771;2519;78;81;80;71;25;32;81;70;26;31
2019;03/25/2025;11:45:00;79;60;50;50;4829;2537;78;81;80;71;25;28;82;71;25;28
2020;03/25/2025;12:00:00;79;61;49;50;4674;2433;80;81;80;71;25;29;82;71;25;29
2021;03/25/2025;12:15:00;79;60;49;50;4650;2461;79;81;80;71;24;29;82;71;25;29
