Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;Pc_RU;Pf_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
1;07-08-25;13:00:00;73;63;48;47;4431;2360;73;623;72;70;25;27;74;70;26;28
2;07-08-25;13:15:00;73;62;48;48;4427;2366;73;622;72;71;25;27;74;70;25;27
3;07-08-25;13:30:00;73;62;48;48;4457;2367;73;614;73;71;25;28;74;70;26;28
4;07-08-25;13:45:00;73;62;49;48;4471;2372;73;620;72;70;25;30;74;70;27;30
5;07-08-25;14:00:00;73;62;49;48;4486;2374;73;633;72;71;25;28;74;70;26;28
6;07-08-25;14:15:00;73;62;48;48;4437;2371;73;631;72;71;25;28;74;71;26;28
7;07-08-25;14:30:00;73;63;48;48;4459;2383;73;627;73;71;25;28;74;70;26;28
8;07-08-25;14:45:00;73;62;48;48;4490;2388;73;624;73;71;25;27;74;70;25;27
9;07-08-25;15:00:00;73;63;48;48;4457;2377;74;634;73;71;25;25;74;71;25;25
10;07-08-25;15:15:00;74;62;48;48;4475;2388;73;636;73;71;25;28;74;71;26;28
11;07-08-25;15:30:00;73;63;47;47;4421;2394;73;632;73;71;25;26;75;71;25;27
12;07-08-25;15:45:00;74;63;47;47;4409;2373;74;632;73;71;25;27;75;71;26;27
13;07-08-25;16:00:00;74;63;47;47;4394;2382;74;636;73;72;25;25;74;71;26;26
14;07-08-25;16:15:00;73;63;47;47;4444;2397;74;631;73;71;25;26;75;70;26;26
15;07-08-25;16:30:00;73;64;47;47;4383;2389;74;630;73;71;25;24;75;71;25;25
16;07-08-25;16:45:00;74;63;47;46;4381;2404;74;631;74;71;24;25;74;70;25;24
17;07-08-25;17:00:00;73;63;48;48;4477;2388;73;631;73;71;25;26;75;71;25;26
18;07-08-25;17:15:00;74;63;47;47;4376;2383;73;632;73;71;25;25;74;71;25;26
19;07-08-25;17:30:00;73;63;48;47;4435;2396;73;634;73;71;25;23;74;71;25;23
20;07-08-25;17:45:00;72;63;47;47;4388;2387;71;629;69;70;26;32;69;69;26;33
21;07-08-25;18:00:00;73;63;48;48;4441;2370;73;636;73;71;25;26;74;70;26;26
22;07-08-25;18:15:00;74;62;48;48;4424;2366;73;637;73;71;25;26;75;71;25;26
23;07-08-25;18:30:00;74;62;48;48;4493;2370;74;636;73;71;25;26;74;70;26;26
24;07-08-25;18:45:00;75;63;48;47;4401;2371;74;639;74;72;24;22;76;71;25;22
25;07-08-25;19:00:00;75;63;47;47;4383;2366;75;638;74;72;24;20;76;71;25;21
26;07-08-25;19:15:00;74;62;47;48;4472;2391;74;636;74;72;24;22;76;71;25;22
27;07-08-25;19:30:00;75;62;48;47;4461;2375;75;635;74;72;24;23;76;71;25;23
28;07-08-25;19:45:00;73;62;48;48;4519;2385;74;637;73;71;25;29;75;71;25;29
29;07-08-25;20:00:00;74;63;48;47;4456;2378;74;632;74;71;25;26;76;71;25;26
30;07-08-25;20:15:00;74;62;48;49;4548;2391;74;631;73;70;25;27;75;70;26;27
31;07-08-25;20:30:00;75;63;47;47;4433;2401;75;589;74;72;24;25;75;71;25;25
32;07-08-25;20:45:00;74;62;48;48;4493;2378;74;600;74;71;25;24;75;71;25;25
33;07-08-25;21:00:00;75;63;48;48;4430;2378;74;612;74;72;24;22;76;71;25;23
34;07-08-25;21:15:00;66;63;46;47;4369;2374;66;609;65;68;28;39;66;68;29;39
35;07-08-25;21:30:00;66;62;48;48;4428;2315;67;620;67;69;28;33;69;69;28;33
36;07-08-25;21:45:00;74;63;47;47;4465;2330;74;627;74;72;24;24;75;71;25;24
37;07-08-25;22:00:00;73;63;48;47;4380;2318;74;632;73;72;24;22;75;71;24;22
38;07-08-25;22:15:00;74;63;47;47;4385;2343;74;632;74;72;23;22;75;72;24;22
