Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;Pc_RU;Pf_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
7501;05/21/2025;14:15:00;68;58;50;50;4648;2410;68;68;68;66;31;46;70;65;32;46
7502;05/21/2025;14:30:00;68;59;50;51;4650;2413;68;68;68;66;31;44;69;66;31;44
7503;05/21/2025;14:45:00;68;59;50;48;4661;2429;68;68;68;66;30;44;69;66;31;44
7504;05/21/2025;15:00:00;69;59;50;50;4677;2421;69;68;69;67;31;44;69;66;30;44
7505;05/21/2025;15:15:00;69;59;49;50;4667;2430;69;68;69;67;30;43;70;66;31;43
7506;05/21/2025;15:30:00;70;59;50;50;4715;2436;69;69;69;66;30;42;70;67;30;42
7507;05/21/2025;15:45:00;70;60;50;50;4678;2421;69;69;69;67;29;42;70;67;30;42
7508;05/21/2025;16:00:00;69;60;50;50;4667;2437;69;69;69;67;29;40;71;67;30;40
7509;05/21/2025;16:15:00;70;60;50;50;4705;2437;69;70;69;67;29;40;71;67;29;40
7510;05/21/2025;16:30:00;69;59;50;50;4709;2444;69;69;69;66;31;42;70;66;31;43
7511;05/21/2025;16:45:00;69;59;50;50;4688;2446;69;69;69;68;29;41;70;66;30;41
7512;05/21/2025;17:00:00;70;60;50;50;4651;2461;69;70;69;67;30;41;71;67;31;41
7513;05/21/2025;17:15:00;70;59;50;50;4681;2458;69;69;69;67;30;41;70;67;30;41
7514;05/21/2025;17:30:00;69;60;50;50;4678;2439;69;69;69;67;30;41;70;66;30;41
7515;05/21/2025;17:45:00;69;60;50;50;4643;2439;69;69;69;67;30;42;70;67;31;42
7516;05/21/2025;18:00:00;68;58;50;50;4642;2414;68;68;68;66;31;44;70;65;31;44
7517;05/21/2025;18:15:00;69;59;50;50;4639;2413;68;68;68;66;30;44;69;66;30;44
7518;05/21/2025;18:30:00;68;59;50;50;4634;2412;68;69;68;67;31;43;69;66;31;43
7519;05/21/2025;18:45:00;68;59;51;50;4633;2407;68;68;68;67;30;43;69;66;31;43
7520;05/21/2025;19:00:00;69;60;50;50;4659;2398;69;70;69;67;30;41;71;66;30;41
7521;05/21/2025;19:15:00;69;60;50;50;4626;2403;69;69;68;67;29;40;70;67;30;40
7522;05/21/2025;19:30:00;70;60;50;50;4620;2401;69;69;69;67;30;42;70;67;30;42
7523;05/21/2025;19:45:00;69;59;50;50;4607;2396;69;69;68;66;31;43;70;66;31;43
7524;05/21/2025;20:00:00;69;59;50;50;4610;2440;69;69;68;67;30;43;70;66;31;43
7525;05/21/2025;20:15:00;69;59;50;50;4626;2399;69;69;69;67;30;43;70;66;30;43
7526;05/21/2025;20:30:00;69;59;50;50;4621;2388;68;68;68;66;31;44;69;66;31;44
7527;05/21/2025;20:45:00;69;59;50;50;4624;2387;68;69;68;66;30;44;69;66;31;44
7528;05/21/2025;21:00:00;69;59;50;50;4618;2384;69;69;69;67;30;42;70;66;31;42
7529;05/21/2025;21:15:00;69;59;50;50;4585;2386;68;69;68;66;30;45;70;66;31;45
7530;05/21/2025;21:30:00;69;59;50;50;4654;2391;69;69;68;66;30;42;70;66;31;43
7531;05/21/2025;21:45:00;69;59;50;50;4628;2390;69;68;69;67;30;42;70;66;31;42
7532;05/21/2025;22:00:00;69;59;50;51;4629;2385;69;68;68;67;29;41;70;67;30;41
7533;05/21/2025;22:15:00;69;59;50;50;4584;2382;69;69;68;67;30;45;70;66;31;46
7534;05/21/2025;22:30:00;69;59;50;50;4625;2383;68;69;68;67;30;43;69;66;31;43
7535;05/21/2025;22:45:00;68;59;50;50;4604;2378;68;68;68;66;30;42;70;66;30;42
7536;05/21/2025;23:00:00;69;58;50;50;4605;2371;68;68;68;66;31;44;69;66;31;44
7537;05/21/2025;23:15:00;69;59;50;50;4605;2354;69;69;68;66;31;43;69;66;32;43
7538;05/21/2025;23:30:00;68;59;50;50;4608;2357;67;68;67;67;31;44;68;66;31;44
7539;05/21/2025;23:45:00;68;59;50;51;4593;2364;67;68;67;66;31;45;69;65;32;45
7540;05/22/2025;00:00:00;68;59;50;50;4581;2332;68;68;67;66;31;44;69;66;31;44
7541;05/22/2025;00:15:00;69;59;50;50;4586;2349;68;68;68;66;30;44;69;66;31;44
7542;05/22/2025;00:30:00;68;58;50;48;4572;2331;67;68;67;66;31;44;69;66;32;44
7543;05/22/2025;00:45:00;68;58;50;50;4578;2321;67;68;67;66;31;45;68;66;32;46
7544;05/22/2025;01:00:00;68;59;50;50;4552;2322;67;68;67;66;31;45;69;65;31;45
