Record;Date;UTC Time;Tc_RU;Tf_RU;Hz1_RU;Hz2_RU;DP_RU;Tc_HX1_RU;Tc_HX2_RU;Tc_HX1_CIN;Tf_HX1_CIN;Q_HX1_CIN;Hz_HX1_CIN;Tc_HX2_CIN;Tf_HX2_CIN;Q_HX2_CIN;Hz_HX2_CIN
34;02-12-25;19:15:00;72;58;50;50;0;71;73;73;64;30;51;75;64;30;51
35;02-12-25;19:30:00;72;57;50;50;0;71;74;75;63;30;50;76;63;31;51
36;02-12-25;19:45:00;73;57;50;49;0;72;74;74;64;30;51;76;64;31;51
37;02-12-25;20:00:00;72;57;50;50;0;72;74;74;64;30;51;75;63;30;51
38;02-12-25;20:15:00;74;60;51;50;0;72;75;75;66;30;50;76;65;30;51
39;02-12-25;20:30:00;73;59;50;50;0;72;74;75;65;30;50;77;65;31;51
40;02-12-25;20:45:00;73;59;50;50;0;72;75;75;65;30;50;77;65;31;51
41;02-12-25;21:00:00;73;60;50;50;0;73;74;74;65;30;51;77;65;31;51
42;02-12-25;21:15:00;74;60;50;50;0;73;75;75;66;29;49;77;65;29;50
43;02-12-25;21:30:00;74;60;50;50;0;73;76;76;66;29;49;78;66;28;49
44;02-12-25;21:45:00;75;61;50;50;0;75;77;76;67;28;46;79;67;28;46
45;02-12-25;22:00:00;75;61;49;49;0;74;76;76;66;28;47;78;66;29;47
46;02-12-25;22:15:00;75;61;50;50;0;73;76;75;66;28;48;77;66;29;48
47;02-12-25;22:30:00;75;61;49;49;0;74;77;76;67;28;47;77;66;28;48
48;02-12-25;22:45:00;75;60;50;49;0;74;76;75;67;27;45;77;66;27;46
49;02-12-25;23:00:00;74;62;48;48;0;74;76;75;66;27;45;78;67;28;45
50;02-12-25;23:15:00;75;62;48;48;0;74;77;75;67;27;45;77;67;27;45
51;02-12-25;23:30:00;75;62;48;47;0;74;76;75;67;27;45;77;67;28;45
52;02-12-25;23:45:00;76;62;49;49;0;75;77;76;67;27;46;78;67;26;46
53;02/13/2025;00:00:00;75;61;49;49;0;74;77;75;67;27;44;78;67;28;45
54;02/13/2025;00:15:00;76;61;49;49;0;74;77;76;68;26;44;77;67;27;44
55;02/13/2025;00:30:00;76;62;49;49;0;75;76;76;68;27;45;77;67;27;45
56;02/13/2025;00:45:00;75;60;49;49;0;75;77;76;67;27;45;78;67;28;45
57;02/13/2025;01:00:00;75;60;49;50;0;74;76;76;67;28;47;77;66;29;47
58;02/13/2025;01:15:00;75;60;49;50;0;74;77;76;67;28;45;79;67;29;45
59;02/13/2025;01:30:00;75;61;49;48;0;74;76;76;67;28;45;78;67;28;45
60;02/13/2025;01:45:00;75;61;49;49;0;75;77;76;67;27;44;78;67;27;44
61;02/13/2025;02:00:00;75;62;47;49;0;75;77;76;67;27;44;78;67;27;45
62;02/13/2025;02:15:00;75;61;49;48;0;74;76;76;68;26;44;77;67;27;44
63;02/13/2025;02:30:00;76;62;49;47;0;75;77;76;67;26;43;78;67;26;43
64;02/13/2025;02:45:00;75;61;50;50;0;74;76;76;67;27;47;78;66;28;47
65;02/13/2025;03:00:00;75;61;49;49;0;75;77;76;67;27;46;78;67;28;46
66;02/13/2025;03:15:00;75;61;50;50;0;74;77;76;67;27;44;79;67;27;45
67;02/13/2025;03:30:00;75;62;50;49;0;74;76;75;67;28;46;77;67;28;46
68;02/13/2025;03:45:00;76;60;49;49;0;74;77;75;67;27;48;77;66;28;48
69;02/13/2025;04:00:00;75;60;50;50;0;74;75;75;66;29;48;77;66;28;48
70;02/13/2025;04:15:00;75;61;49;49;0;74;77;75;66;28;48;77;66;29;48
71;02/13/2025;04:30:00;74;60;49;50;0;73;75;74;66;30;49;77;66;30;49
72;02/13/2025;04:45:00;74;61;50;50;0;73;75;75;66;29;48;77;66;30;49
73;02/13/2025;05:00:00;73;60;49;49;0;74;75;75;66;29;49;77;66;29;49
74;02/13/2025;05:15:00;74;60;50;50;0;73;75;75;65;29;49;77;66;30;49
75;02/13/2025;05:30:00;73;60;50;49;0;72;74;74;66;30;50;76;65;29;50
76;02/13/2025;05:45:00;72;59;50;50;0;71;73;74;64;30;50;75;64;30;51
77;02/13/2025;06:00:00;71;59;50;50;0;71;73;73;65;30;51;75;64;30;51
78;02/13/2025;06:15:00;72;59;50;49;0;71;73;74;64;30;50;77;64;31;51
79;02/13/2025;06:30:00;73;60;50;50;0;72;74;75;65;30;51;77;65;31;51
80;02/13/2025;06:45:00;72;61;50;50;0;72;74;74;65;30;51;75;64;30;51
81;02/13/2025;07:00:00;72;60;50;50;0;71;74;74;65;30;51;77;65;30;51
82;02/13/2025;07:15:00;72;59;50;50;0;71;73;74;64;30;51;75;64;31;51
83;02/13/2025;07:30:00;73;59;51;51;0;72;74;75;65;30;51;77;65;30;51
84;02/13/2025;07:45:00;73;59;50;50;0;72;74;75;65;31;51;76;64;31;51
85;02/13/2025;08:00:00;73;59;50;50;0;72;74;75;64;30;51;76;64;31;51
86;02/13/2025;08:15:00;72;59;50;50;0;71;74;75;65;30;51;77;64;31;51
87;02/13/2025;08:30:00;72;59;50;50;0;72;74;75;64;30;51;75;64;31;51
88;02/13/2025;08:45:00;69;58;50;50;0;68;70;70;62;30;51;71;62;30;51
89;02/13/2025;09:00:00;71;59;50;50;0;70;72;72;64;30;51;73;63;31;51
90;02/13/2025;09:15:00;70;58;50;50;0;69;71;71;64;30;50;74;63;31;51
91;02/13/2025;09:30:00;70;59;50;50;0;68;71;71;63;31;51;73;63;31;51
92;02/13/2025;09:45:00;70;59;50;50;0;69;71;72;63;30;51;74;63;30;51
93;02/13/2025;10:00:00;69;58;51;50;0;68;71;71;63;30;51;73;62;30;51
94;02/13/2025;10:15:00;70;58;50;50;0;69;71;71;63;30;51;74;63;31;51
95;02/13/2025;10:30:00;70;58;50;51;0;69;71;71;62;30;51;72;62;30;51
96;02/13/2025;10:45:00;70;58;50;50;0;69;71;71;62;30;51;73;62;31;51
97;02/13/2025;11:00:00;69;57;50;50;0;68;71;71;62;30;51;73;62;30;51
98;02/13/2025;11:15:00;71;57;50;49;0;69;71;72;63;30;51;73;63;31;51
99;02/13/2025;11:30:00;69;57;50;50;0;69;71;71;62;30;51;73;62;31;51
100;02/13/2025;11:45:00;68;57;50;51;0;68;71;71;62;31;51;73;62;31;51
101;02/13/2025;12:00:00;69;57;50;50;0;68;70;70;61;30;51;72;61;31;51
102;02/13/2025;12:15:00;69;57;50;50;0;68;70;71;62;31;51;73;62;30;51
103;02/13/2025;12:30:00;69;57;50;50;0;68;70;70;62;30;50;72;61;31;51
104;02/13/2025;12:45:00;69;57;50;50;0;68;71;72;62;30;51;74;62;31;51
105;02/13/2025;13:00:00;69;57;50;50;0;68;70;71;62;30;50;73;61;30;51
106;02/13/2025;13:15:00;69;57;51;51;0;68;70;71;62;30;51;73;61;31;51
107;02/13/2025;13:30:00;69;57;50;50;0;68;71;70;62;30;50;72;61;30;51
108;02/13/2025;13:45:00;70;57;50;50;0;69;71;71;61;29;51;74;62;30;51
109;02/13/2025;14:00:00;70;57;50;50;0;68;71;71;62;30;51;74;61;31;51
110;02/13/2025;14:15:00;70;57;50;50;0;68;71;71;62;30;51;73;61;30;51
111;02/13/2025;14:30:00;70;57;50;50;0;69;71;71;62;30;50;72;62;30;51
112;02/13/2025;14:45:00;70;57;50;50;0;69;71;71;62;31;51;73;62;30;51
113;02/13/2025;15:00:00;71;57;50;50;0;69;71;71;62;30;51;74;62;30;51
114;02/13/2025;15:15:00;71;57;50;51;0;69;72;72;63;31;51;74;62;31;51
115;02/13/2025;15:30:00;69;57;50;50;0;68;71;71;62;30;51;73;62;31;51
116;02/13/2025;15:45:00;69;57;50;50;0;69;71;70;62;30;51;72;61;31;51
117;02/13/2025;16:00:00;69;57;51;50;0;69;71;71;62;30;51;73;61;31;51
118;02/13/2025;16:15:00;70;57;50;50;0;69;72;72;63;30;50;74;62;30;51
119;02/13/2025;16:30:00;68;57;50;50;0;67;70;70;62;30;51;72;62;30;51
120;02/13/2025;16:45:00;68;57;50;50;0;67;70;69;62;30;51;72;61;31;51
121;02/13/2025;17:00:00;69;57;50;50;0;67;70;69;62;30;51;71;61;31;51
122;02/13/2025;17:15:00;68;56;49;50;0;67;70;71;62;30;51;72;61;31;51
123;02/13/2025;17:30:00;69;57;50;50;0;68;71;71;62;30;51;73;62;31;51
124;02/13/2025;17:45:00;67;56;50;50;0;67;69;69;61;30;51;71;61;31;51
125;02/13/2025;18:00:00;68;57;50;50;0;68;70;69;62;30;51;72;62;30;51
126;02/13/2025;18:15:00;68;57;50;50;0;67;70;69;62;30;51;71;61;31;51
127;02/13/2025;18:30:00;69;57;50;50;0;68;71;71;62;30;50;73;62;31;51
128;02/13/2025;18:45:00;67;56;50;50;0;67;69;68;61;30;51;70;60;31;51
129;02/13/2025;19:00:00;67;57;50;50;0;67;69;69;62;29;51;71;61;30;51
130;02/13/2025;19:15:00;68;57;50;50;0;66;69;69;61;30;51;71;61;31;51
131;02/13/2025;19:30:00;68;57;50;50;0;67;69;69;62;30;51;71;61;30;51
132;02/13/2025;19:45:00;67;56;50;50;0;66;69;68;61;31;51;70;61;31;51
133;02/13/2025;20:00:00;67;56;50;50;0;66;69;69;61;30;51;70;61;31;51
134;02/13/2025;20:15:00;69;56;50;50;0;69;71;71;62;30;51;73;62;31;51
135;02/13/2025;20:30:00;69;57;50;50;0;68;70;71;62;30;51;72;62;30;51
136;02/13/2025;20:45:00;69;56;51;50;0;68;70;70;61;29;51;73;61;31;51
137;02/13/2025;21:00:00;68;56;50;51;0;67;70;69;61;30;51;71;60;31;51
138;02/13/2025;21:15:00;68;57;50;50;0;67;70;69;62;30;51;71;61;31;51
139;02/13/2025;21:30:00;70;56;50;50;0;69;71;71;62;30;50;74;62;31;51
140;02/13/2025;21:45:00;70;56;50;50;0;69;71;71;62;30;51;73;62;31;51
141;02/13/2025;22:00:00;70;57;50;50;0;69;71;71;62;30;51;74;62;31;51
142;02/13/2025;22:15:00;69;58;50;50;0;69;72;71;62;30;51;71;61;30;51
143;02/13/2025;22:30:00;69;57;50;50;0;69;71;71;62;30;51;72;62;31;51
144;02/13/2025;22:45:00;69;57;51;50;0;68;70;70;62;30;51;73;62;31;51
145;02/13/2025;23:00:00;68;56;49;50;0;68;71;70;62;30;51;72;62;31;51
146;02/13/2025;23:15:00;70;58;50;51;0;69;71;71;63;30;51;73;62;31;51
147;02/13/2025;23:30:00;69;58;50;50;0;68;71;70;63;30;51;72;61;31;51
148;02/13/2025;23:45:00;69;57;50;50;0;68;71;70;62;30;51;73;62;30;51
149;02/14/2025;00:00:00;69;57;50;51;0;68;70;70;62;31;51;72;61;31;51
150;02/14/2025;00:15:00;70;57;50;50;0;70;72;72;63;30;51;74;63;31;51
151;02/14/2025;00:30:00;69;57;49;50;0;69;71;70;62;30;51;73;62;31;51
152;02/14/2025;00:45:00;68;57;51;50;0;68;71;70;62;30;50;72;62;31;51
153;02/14/2025;01:00:00;69;57;50;50;0;68;70;69;62;30;51;71;62;31;51
154;02/14/2025;01:15:00;68;57;50;50;0;67;69;68;62;30;51;70;61;31;51
155;02/14/2025;01:30:00;69;57;50;50;0;69;73;71;63;30;51;73;63;31;51
156;02/14/2025;01:45:00;70;57;50;50;0;68;71;71;62;31;51;73;62;31;51
157;02/14/2025;02:00:00;67;56;50;50;0;66;69;68;61;30;51;70;60;31;51
158;02/14/2025;02:15:00;70;57;51;50;0;69;72;71;62;30;51;73;62;31;51
159;02/14/2025;02:30:00;67;56;49;51;0;67;69;69;62;30;51;71;61;30;51
160;02/14/2025;02:45:00;69;57;50;50;0;69;70;70;62;30;51;72;62;30;51
161;02/14/2025;03:00:00;68;56;50;50;0;67;70;71;61;30;51;72;61;31;51
162;02/14/2025;03:15:00;69;56;50;50;0;68;70;70;61;31;51;72;61;31;51
163;02/14/2025;03:30:00;69;56;48;50;0;68;70;70;62;31;51;72;61;30;51
164;02/14/2025;03:45:00;67;56;50;50;0;67;69;69;61;30;51;71;60;31;51
165;02/14/2025;04:00:00;67;56;50;50;0;66;69;68;61;30;50;70;60;30;51
166;02/14/2025;04:15:00;67;56;50;51;0;67;69;69;61;30;51;71;60;30;51
167;02/14/2025;04:30:00;69;55;50;50;0;68;70;71;61;30;51;72;61;30;51
168;02/14/2025;04:45:00;67;56;50;50;0;66;68;68;61;29;51;70;60;31;51
169;02/14/2025;05:00:00;67;55;51;50;0;65;68;67;60;30;51;69;60;31;51
170;02/14/2025;05:15:00;67;55;50;50;0;67;69;70;60;31;51;73;61;31;51
171;02/14/2025;05:30:00;67;56;49;50;0;66;68;68;60;30;51;70;60;31;51
172;02/14/2025;05:45:00;67;55;50;50;0;66;69;69;60;30;51;71;60;30;51
173;02/14/2025;06:00:00;66;55;50;50;0;66;68;68;60;30;50;70;59;31;51
174;02/14/2025;06:15:00;67;55;50;50;0;66;69;69;60;30;51;71;59;31;51
175;02/14/2025;06:30:00;68;55;50;50;0;67;70;71;61;30;51;73;60;30;51
176;02/14/2025;06:45:00;67;55;50;50;0;67;69;69;60;30;51;72;60;30;51
177;02/14/2025;07:00:00;67;55;49;50;0;66;68;69;60;31;51;72;60;31;51
178;02/14/2025;07:15:00;67;55;50;50;0;67;69;70;61;31;51;72;60;31;51
179;02/14/2025;07:30:00;70;54;50;50;0;69;72;72;62;34;51;75;62;35;51
180;02/14/2025;07:45:00;70;55;50;50;0;69;71;72;61;33;51;74;62;35;51
181;02/14/2025;08:00:00;69;54;50;50;0;69;71;72;61;34;51;74;61;35;51
182;02/14/2025;08:15:00;69;55;50;50;0;68;70;71;61;34;51;73;61;35;51
183;02/14/2025;08:30:00;71;54;50;50;0;70;73;74;62;34;51;76;62;36;51
184;02/14/2025;08:45:00;71;54;50;51;0;70;73;73;61;34;51;76;62;35;51
185;02/14/2025;09:00:00;71;55;51;51;0;71;73;73;62;34;51;75;62;35;51
186;02/14/2025;09:15:00;72;55;50;50;0;71;74;75;63;34;51;77;62;35;51
187;02/14/2025;09:30:00;71;55;50;50;0;69;72;73;62;34;51;75;62;35;51
188;02/14/2025;09:45:00;71;56;49;50;0;71;73;73;62;33;51;75;62;35;51
189;02/14/2025;10:00:00;73;56;50;50;0;72;74;75;63;34;51;77;63;35;51
190;02/14/2025;10:15:00;72;57;50;51;0;72;74;75;63;34;51;77;63;35;51
191;02/14/2025;10:30:00;72;57;50;50;0;72;74;75;64;35;51;77;63;34;51
192;02/14/2025;10:45:00;73;57;50;50;0;72;75;75;64;34;50;77;64;35;51
193;02/14/2025;11:00:00;73;58;50;50;0;72;75;75;64;34;51;78;64;35;51
194;02/14/2025;11:15:00;72;58;51;50;0;72;74;75;65;34;51;77;65;35;51
195;02/14/2025;11:30:00;73;58;50;50;0;72;75;75;65;34;51;77;64;35;51
196;02/14/2025;11:45:00;73;58;51;50;0;73;75;75;65;34;51;78;65;34;51
197;02/14/2025;12:00:00;73;59;49;50;0;73;75;75;65;34;50;78;66;35;51
198;02/14/2025;12:15:00;74;59;49;50;0;73;75;75;65;34;51;78;66;35;51
199;02/14/2025;12:30:00;74;59;50;51;0;72;75;76;66;34;51;78;65;35;51
200;02/14/2025;12:45:00;74;60;49;50;0;73;76;76;66;33;50;78;66;34;50
201;02/14/2025;13:00:00;73;60;51;50;0;73;75;76;66;34;50;78;66;34;50
202;02/14/2025;13:15:00;74;60;50;50;0;73;75;76;66;33;49;78;66;34;49
203;02/14/2025;13:30:00;74;59;50;50;0;73;75;76;65;33;50;78;65;34;50
204;02/14/2025;13:45:00;73;60;50;50;0;72;74;75;66;33;50;77;66;34;51
205;02/14/2025;14:00:00;75;60;50;51;0;73;76;76;66;33;49;78;66;34;49
206;02/14/2025;14:15:00;75;60;50;50;0;75;77;77;67;32;47;80;66;33;47
207;02/14/2025;14:30:00;75;59;51;50;0;74;77;77;66;32;50;79;66;33;50
208;02/14/2025;14:45:00;74;59;50;50;0;74;77;77;66;32;47;79;66;33;47
